,flode_brf,flode_fastighet_bostader,flode_byggverksamhet,flode_hushall_bolan,flode_obligationer,flode_produktionsnara,kredit_per_pabörjad,kredit_per_pabörjad_real,gap_kredit_minus_byggande,ranta_brf,spread_brf,ranta_fastighet_bostader,spread_fastighet_bostader,bredd_antal_lantagare_yoy,ki_finansieringslage,antal_komponenter,byggkreditindikator,byggkreditindikator_prel
2015Q1,,,,,,,,,,,,,,,16.0,1,,
2015Q2,,,,,,,,,,,,,,,13.0,1,,
2015Q3,,,,,,,,,,,,,,,12.0,1,,
2015Q4,,,,,,,,,,,,,,,13.0,1,,
2016Q1,,,,218596.0,32450.0,,,,,,,,,,13.0,1,,
2016Q2,,,,228426.0,38934.0,,,,,,,,,,16.0,1,,
2016Q3,,,,216135.0,35020.0,,,,,,,,,,17.0,1,,
2016Q4,,,,206097.0,78306.0,,,,,,,,,,7.0,1,,
2017Q1,,,,208687.0,153465.0,,,,,,,,,,8.0,1,,
2017Q2,,,,201484.0,170742.0,,,,,,,,,,13.0,1,,
2017Q3,,,,206293.0,175028.0,,,,,,,,,,14.0,1,,
2017Q4,,,,205175.0,160068.0,,,,,,,,,,15.0,1,,
2018Q1,,,,203669.0,156599.0,,,,,,,,,,21.0,1,,
2018Q2,,,,188211.0,112117.0,,,,,,,,,,15.0,1,,
2018Q3,,,,175515.0,139577.0,,,,,,,,,,13.0,1,,
2018Q4,,,,171850.0,116637.0,,,,,,,,,,16.0,1,,
2019Q1,,,,157893.0,108005.0,,,,,,,,,,19.0,1,,
2019Q2,,,,156704.0,181844.0,,,,,,,,,,18.0,1,,
2019Q3,,,,158291.0,152890.0,,,,,1.42,1.67,1.14,1.39,,14.0,2,,-0.22080474855806986
2019Q4,,,,160747.0,175258.0,,,,,1.39,1.64,1.17,1.42,,15.0,2,,-0.3145157793906042
2020Q1,,,,173434.0,171458.0,,,,,1.41,1.41,1.3,1.3,,20.0,2,,-0.3195907976817026
2020Q2,,,,182149.0,56754.0,,,,,1.37,1.37,1.28,1.28,,35.0,2,,-0.9184575051340148
2020Q3,9928.0,43150.0,3155.0,187856.0,58577.0,53078.0,4.14671875,3.6761691046099294,,1.31,1.31,1.14,1.14,2.525089894273602,31.0,4,,0.12645367722655862
2020Q4,8751.0,20429.0,5002.0,199343.0,47999.0,29180.0,1.851757837288996,1.6329434191260985,,1.25,1.25,1.09,1.09,1.9972415256485077,26.0,4,,-0.12111469769034838
2021Q1,10546.0,19046.0,3046.0,205987.0,24083.0,29592.0,1.801205185951671,1.5662653790884096,,1.23,1.23,1.11,1.11,2.1637025700564694,23.0,4,,-0.034333083662569014
2021Q2,13276.0,14623.0,-165.0,221876.0,81446.0,27899.0,1.4851743412297045,1.2715533743405005,,1.19,1.19,1.09,1.09,2.156518089041626,20.0,4,,0.009133707848736482
2021Q3,17492.0,25464.0,954.0,242087.0,91011.0,42956.0,3.2297744360902256,2.6870003628038486,-22.976297854101514,1.18,1.18,1.09,1.09,2.206401968225724,15.0,5,0.166437389589281,0.166437389589281
