serie,roll,tid,kategori,innehall,varde
byggkostnad,namnare,2015-01,flerbostadshus | totalt exkl. mervärdesskatt,Index,99.6
byggkostnad,namnare,2015-04,flerbostadshus | totalt exkl. mervärdesskatt,Index,100.0
byggkostnad,namnare,2015-07,flerbostadshus | totalt exkl. mervärdesskatt,Index,100.0
byggkostnad,namnare,2015-10,flerbostadshus | totalt exkl. mervärdesskatt,Index,100.4
byggkostnad,namnare,2016-01,flerbostadshus | totalt exkl. mervärdesskatt,Index,100.4
byggkostnad,namnare,2016-04,flerbostadshus | totalt exkl. mervärdesskatt,Index,101.3
byggkostnad,namnare,2016-07,flerbostadshus | totalt exkl. mervärdesskatt,Index,101.7
byggkostnad,namnare,2016-10,flerbostadshus | totalt exkl. mervärdesskatt,Index,102.0
byggkostnad,namnare,2017-01,flerbostadshus | totalt exkl. mervärdesskatt,Index,102.7
byggkostnad,namnare,2017-04,flerbostadshus | totalt exkl. mervärdesskatt,Index,103.9
byggkostnad,namnare,2017-07,flerbostadshus | totalt exkl. mervärdesskatt,Index,104.4
byggkostnad,namnare,2017-10,flerbostadshus | totalt exkl. mervärdesskatt,Index,105.0
byggkostnad,namnare,2018-01,flerbostadshus | totalt exkl. mervärdesskatt,Index,106.3
byggkostnad,namnare,2018-04,flerbostadshus | totalt exkl. mervärdesskatt,Index,107.7
byggkostnad,namnare,2018-07,flerbostadshus | totalt exkl. mervärdesskatt,Index,108.5
byggkostnad,namnare,2018-10,flerbostadshus | totalt exkl. mervärdesskatt,Index,109.0
byggkostnad,namnare,2019-01,flerbostadshus | totalt exkl. mervärdesskatt,Index,110.0
byggkostnad,namnare,2019-04,flerbostadshus | totalt exkl. mervärdesskatt,Index,112.0
byggkostnad,namnare,2019-07,flerbostadshus | totalt exkl. mervärdesskatt,Index,111.9
byggkostnad,namnare,2019-10,flerbostadshus | totalt exkl. mervärdesskatt,Index,112.4
byggkostnad,namnare,2020-01,flerbostadshus | totalt exkl. mervärdesskatt,Index,113.0
byggkostnad,namnare,2020-04,flerbostadshus | totalt exkl. mervärdesskatt,Index,109.7
byggkostnad,namnare,2020-07,flerbostadshus | totalt exkl. mervärdesskatt,Index,112.8
byggkostnad,namnare,2020-10,flerbostadshus | totalt exkl. mervärdesskatt,Index,113.4
byggkostnad,namnare,2021-01,flerbostadshus | totalt exkl. mervärdesskatt,Index,115.0
byggkostnad,namnare,2021-04,flerbostadshus | totalt exkl. mervärdesskatt,Index,116.8
byggkostnad,namnare,2021-07,flerbostadshus | totalt exkl. mervärdesskatt,Index,120.2
byggkostnad,namnare,2021-10,flerbostadshus | totalt exkl. mervärdesskatt,Index,122.6
byggkostnad,namnare,2022-01,flerbostadshus | totalt exkl. mervärdesskatt,Index,125.8
byggkostnad,namnare,2022-04,flerbostadshus | totalt exkl. mervärdesskatt,Index,133.4
byggkostnad,namnare,2022-07,flerbostadshus | totalt exkl. mervärdesskatt,Index,138.1
byggkostnad,namnare,2022-10,flerbostadshus | totalt exkl. mervärdesskatt,Index,141.6
byggkostnad,namnare,2023-01,flerbostadshus | totalt exkl. mervärdesskatt,Index,146.3
byggkostnad,namnare,2023-04,flerbostadshus | totalt exkl. mervärdesskatt,Index,147.8
byggkostnad,namnare,2023-07,flerbostadshus | totalt exkl. mervärdesskatt,Index,149.2
byggkostnad,namnare,2023-10,flerbostadshus | totalt exkl. mervärdesskatt,Index,150.5
byggkostnad,namnare,2024-01,flerbostadshus | totalt exkl. mervärdesskatt,Index,150.8
byggkostnad,namnare,2024-04,flerbostadshus | totalt exkl. mervärdesskatt,Index,151.4
byggkostnad,namnare,2024-07,flerbostadshus | totalt exkl. mervärdesskatt,Index,151.1
byggkostnad,namnare,2024-10,flerbostadshus | totalt exkl. mervärdesskatt,Index,149.7
byggkostnad,namnare,2025-01,flerbostadshus | totalt exkl. mervärdesskatt,Index,150.2
byggkostnad,namnare,2025-04,flerbostadshus | totalt exkl. mervärdesskatt,Index,150.3
byggkostnad,namnare,2025-07,flerbostadshus | totalt exkl. mervärdesskatt,Index,150.7
byggkostnad,namnare,2025-10,flerbostadshus | totalt exkl. mervärdesskatt,Index,151.0
byggkostnad,namnare,2026-01,flerbostadshus | totalt exkl. mervärdesskatt,Index,151.8
byggkostnad,namnare,2026-04,flerbostadshus | totalt exkl. mervärdesskatt,Index,154.9
