serie,roll,tid,kategori,innehall,varde
emitterat,kredit,2015-01,Icke-finansiell,"Utestående nominellt emitterat belopp vid utgången av månaden, mnkr",766984
emitterat,kredit,2015-02,Icke-finansiell,"Utestående nominellt emitterat belopp vid utgången av månaden, mnkr",774455
emitterat,kredit,2015-03,Icke-finansiell,"Utestående nominellt emitterat belopp vid utgången av månaden, mnkr",799416
emitterat,kredit,2015-04,Icke-finansiell,"Utestående nominellt emitterat belopp vid utgången av månaden, mnkr",815373
emitterat,kredit,2015-05,Icke-finansiell,"Utestående nominellt emitterat belopp vid utgången av månaden, mnkr",826364
emitterat,kredit,2015-06,Icke-finansiell,"Utestående nominellt emitterat belopp vid utgången av månaden, mnkr",829718
emitterat,kredit,2015-07,Icke-finansiell,"Utestående nominellt emitterat belopp vid utgången av månaden, mnkr",836954
emitterat,kredit,2015-08,Icke-finansiell,"Utestående nominellt emitterat belopp vid utgången av månaden, mnkr",844884
emitterat,kredit,2015-09,Icke-finansiell,"Utestående nominellt emitterat belopp vid utgången av månaden, mnkr",845525
emitterat,kredit,2015-10,Icke-finansiell,"Utestående nominellt emitterat belopp vid utgången av månaden, mnkr",852136
emitterat,kredit,2015-11,Icke-finansiell,"Utestående nominellt emitterat belopp vid utgången av månaden, mnkr",848999
emitterat,kredit,2015-12,Icke-finansiell,"Utestående nominellt emitterat belopp vid utgången av månaden, mnkr",830811
emitterat,kredit,2016-01,Icke-finansiell,"Utestående nominellt emitterat belopp vid utgången av månaden, mnkr",844627
emitterat,kredit,2016-02,Icke-finansiell,"Utestående nominellt emitterat belopp vid utgången av månaden, mnkr",848249
emitterat,kredit,2016-03,Icke-finansiell,"Utestående nominellt emitterat belopp vid utgången av månaden, mnkr",831866
emitterat,kredit,2016-04,Icke-finansiell,"Utestående nominellt emitterat belopp vid utgången av månaden, mnkr",826601
emitterat,kredit,2016-05,Icke-finansiell,"Utestående nominellt emitterat belopp vid utgången av månaden, mnkr",852500
emitterat,kredit,2016-06,Icke-finansiell,"Utestående nominellt emitterat belopp vid utgången av månaden, mnkr",868652
emitterat,kredit,2016-07,Icke-finansiell,"Utestående nominellt emitterat belopp vid utgången av månaden, mnkr",876086
emitterat,kredit,2016-08,Icke-finansiell,"Utestående nominellt emitterat belopp vid utgången av månaden, mnkr",876608
emitterat,kredit,2016-09,Icke-finansiell,"Utestående nominellt emitterat belopp vid utgången av månaden, mnkr",880545
emitterat,kredit,2016-10,Icke-finansiell,"Utestående nominellt emitterat belopp vid utgången av månaden, mnkr",911600
emitterat,kredit,2016-11,Icke-finansiell,"Utestående nominellt emitterat belopp vid utgången av månaden, mnkr",923350
emitterat,kredit,2016-12,Icke-finansiell,"Utestående nominellt emitterat belopp vid utgången av månaden, mnkr",909117
emitterat,kredit,2017-01,Icke-finansiell,"Utestående nominellt emitterat belopp vid utgången av månaden, mnkr",912865
emitterat,kredit,2017-02,Icke-finansiell,"Utestående nominellt emitterat belopp vid utgången av månaden, mnkr",936340
emitterat,kredit,2017-03,Icke-finansiell,"Utestående nominellt emitterat belopp vid utgången av månaden, mnkr",985331
emitterat,kredit,2017-04,Icke-finansiell,"Utestående nominellt emitterat belopp vid utgången av månaden, mnkr",1007603
emitterat,kredit,2017-05,Icke-finansiell,"Utestående nominellt emitterat belopp vid utgången av månaden, mnkr",1021247
emitterat,kredit,2017-06,Icke-finansiell,"Utestående nominellt emitterat belopp vid utgången av månaden, mnkr",1039394
emitterat,kredit,2017-07,Icke-finansiell,"Utestående nominellt emitterat belopp vid utgången av månaden, mnkr",1040015
emitterat,kredit,2017-08,Icke-finansiell,"Utestående nominellt emitterat belopp vid utgången av månaden, mnkr",1034912
emitterat,kredit,2017-09,Icke-finansiell,"Utestående nominellt emitterat belopp vid utgången av månaden, mnkr",1055573
emitterat,kredit,2017-10,Icke-finansiell,"Utestående nominellt emitterat belopp vid utgången av månaden, mnkr",1068952
emitterat,kredit,2017-11,Icke-finansiell,"Utestående nominellt emitterat belopp vid utgången av månaden, mnkr",1077987
emitterat,kredit,2017-12,Icke-finansiell,"Utestående nominellt emitterat belopp vid utgången av månaden, mnkr",1069185
emitterat,kredit,2018-01,Icke-finansiell,"Utestående nominellt emitterat belopp vid utgången av månaden, mnkr",1078860
emitterat,kredit,2018-02,Icke-finansiell,"Utestående nominellt emitterat belopp vid utgången av månaden, mnkr",1117185
emitterat,kredit,2018-03,Icke-finansiell,"Utestående nominellt emitterat belopp vid utgången av månaden, mnkr",1141930
emitterat,kredit,2018-04,Icke-finansiell,"Utestående nominellt emitterat belopp vid utgången av månaden, mnkr",1174584
emitterat,kredit,2018-05,Icke-finansiell,"Utestående nominellt emitterat belopp vid utgången av månaden, mnkr",1162574
emitterat,kredit,2018-06,Icke-finansiell,"Utestående nominellt emitterat belopp vid utgången av månaden, mnkr",1151511
emitterat,kredit,2018-07,Icke-finansiell,"Utestående nominellt emitterat belopp vid utgången av månaden, mnkr",1146364
emitterat,kredit,2018-08,Icke-finansiell,"Utestående nominellt emitterat belopp vid utgången av månaden, mnkr",1182255
emitterat,kredit,2018-09,Icke-finansiell,"Utestående nominellt emitterat belopp vid utgången av månaden, mnkr",1195150
emitterat,kredit,2018-10,Icke-finansiell,"Utestående nominellt emitterat belopp vid utgången av månaden, mnkr",1191954
emitterat,kredit,2018-11,Icke-finansiell,"Utestående nominellt emitterat belopp vid utgången av månaden, mnkr",1218759
emitterat,kredit,2018-12,Icke-finansiell,"Utestående nominellt emitterat belopp vid utgången av månaden, mnkr",1185822
emitterat,kredit,2019-01,Icke-finansiell,"Utestående nominellt emitterat belopp vid utgången av månaden, mnkr",1213995
emitterat,kredit,2019-02,Icke-finansiell,"Utestående nominellt emitterat belopp vid utgången av månaden, mnkr",1256760
emitterat,kredit,2019-03,Icke-finansiell,"Utestående nominellt emitterat belopp vid utgången av månaden, mnkr",1249935
emitterat,kredit,2019-04,Icke-finansiell,"Utestående nominellt emitterat belopp vid utgången av månaden, mnkr",1276397
emitterat,kredit,2019-05,Icke-finansiell,"Utestående nominellt emitterat belopp vid utgången av månaden, mnkr",1319731
emitterat,kredit,2019-06,Icke-finansiell,"Utestående nominellt emitterat belopp vid utgången av månaden, mnkr",1333355
emitterat,kredit,2019-07,Icke-finansiell,"Utestående nominellt emitterat belopp vid utgången av månaden, mnkr",1353401
emitterat,kredit,2019-08,Icke-finansiell,"Utestående nominellt emitterat belopp vid utgången av månaden, mnkr",1362088
emitterat,kredit,2019-09,Icke-finansiell,"Utestående nominellt emitterat belopp vid utgången av månaden, mnkr",1348040
emitterat,kredit,2019-10,Icke-finansiell,"Utestående nominellt emitterat belopp vid utgången av månaden, mnkr",1355153
emitterat,kredit,2019-11,Icke-finansiell,"Utestående nominellt emitterat belopp vid utgången av månaden, mnkr",1365237
emitterat,kredit,2019-12,Icke-finansiell,"Utestående nominellt emitterat belopp vid utgången av månaden, mnkr",1361080
emitterat,kredit,2020-01,Icke-finansiell,"Utestående nominellt emitterat belopp vid utgången av månaden, mnkr",1396355
emitterat,kredit,2020-02,Icke-finansiell,"Utestående nominellt emitterat belopp vid utgången av månaden, mnkr",1422962
emitterat,kredit,2020-03,Icke-finansiell,"Utestående nominellt emitterat belopp vid utgången av månaden, mnkr",1421393
emitterat,kredit,2020-04,Icke-finansiell,"Utestående nominellt emitterat belopp vid utgången av månaden, mnkr",1405029
emitterat,kredit,2020-05,Icke-finansiell,"Utestående nominellt emitterat belopp vid utgången av månaden, mnkr",1386379
emitterat,kredit,2020-06,Icke-finansiell,"Utestående nominellt emitterat belopp vid utgången av månaden, mnkr",1390109
emitterat,kredit,2020-07,Icke-finansiell,"Utestående nominellt emitterat belopp vid utgången av månaden, mnkr",1388260
emitterat,kredit,2020-08,Icke-finansiell,"Utestående nominellt emitterat belopp vid utgången av månaden, mnkr",1389839
emitterat,kredit,2020-09,Icke-finansiell,"Utestående nominellt emitterat belopp vid utgången av månaden, mnkr",1406617
emitterat,kredit,2020-10,Icke-finansiell,"Utestående nominellt emitterat belopp vid utgången av månaden, mnkr",1419865
emitterat,kredit,2020-11,Icke-finansiell,"Utestående nominellt emitterat belopp vid utgången av månaden, mnkr",1422414
emitterat,kredit,2020-12,Icke-finansiell,"Utestående nominellt emitterat belopp vid utgången av månaden, mnkr",1409079
emitterat,kredit,2021-01,Icke-finansiell,"Utestående nominellt emitterat belopp vid utgången av månaden, mnkr",1419539
emitterat,kredit,2021-02,Icke-finansiell,"Utestående nominellt emitterat belopp vid utgången av månaden, mnkr",1456728
emitterat,kredit,2021-03,Icke-finansiell,"Utestående nominellt emitterat belopp vid utgången av månaden, mnkr",1445476
emitterat,kredit,2021-04,Icke-finansiell,"Utestående nominellt emitterat belopp vid utgången av månaden, mnkr",1444109
emitterat,kredit,2021-05,Icke-finansiell,"Utestående nominellt emitterat belopp vid utgången av månaden, mnkr",1445886
emitterat,kredit,2021-06,Icke-finansiell,"Utestående nominellt emitterat belopp vid utgången av månaden, mnkr",1471555
emitterat,kredit,2021-07,Icke-finansiell,"Utestående nominellt emitterat belopp vid utgången av månaden, mnkr",1474482
emitterat,kredit,2021-08,Icke-finansiell,"Utestående nominellt emitterat belopp vid utgången av månaden, mnkr",1476012
