serie,roll,tid,kategori,innehall,varde
hushall_bolan,kredit,2015-01,MFI | hushåll | bostadsrätter,"Utestående avtal, mnkr",713229
hushall_bolan,kredit,2015-02,MFI | hushåll | bostadsrätter,"Utestående avtal, mnkr",719110
hushall_bolan,kredit,2015-03,MFI | hushåll | bostadsrätter,"Utestående avtal, mnkr",725678
hushall_bolan,kredit,2015-04,MFI | hushåll | bostadsrätter,"Utestående avtal, mnkr",733951
hushall_bolan,kredit,2015-05,MFI | hushåll | bostadsrätter,"Utestående avtal, mnkr",742365
hushall_bolan,kredit,2015-06,MFI | hushåll | bostadsrätter,"Utestående avtal, mnkr",753647
hushall_bolan,kredit,2015-07,MFI | hushåll | bostadsrätter,"Utestående avtal, mnkr",761052
hushall_bolan,kredit,2015-08,MFI | hushåll | bostadsrätter,"Utestående avtal, mnkr",768378
hushall_bolan,kredit,2015-09,MFI | hushåll | bostadsrätter,"Utestående avtal, mnkr",778966
hushall_bolan,kredit,2015-10,MFI | hushåll | bostadsrätter,"Utestående avtal, mnkr",788386
hushall_bolan,kredit,2015-11,MFI | hushåll | bostadsrätter,"Utestående avtal, mnkr",797128
hushall_bolan,kredit,2015-12,MFI | hushåll | bostadsrätter,"Utestående avtal, mnkr",807220
hushall_bolan,kredit,2016-01,MFI | hushåll | bostadsrätter,"Utestående avtal, mnkr",813755
hushall_bolan,kredit,2016-02,MFI | hushåll | bostadsrätter,"Utestående avtal, mnkr",820701
hushall_bolan,kredit,2016-03,MFI | hushåll | bostadsrätter,"Utestående avtal, mnkr",829109
hushall_bolan,kredit,2016-04,MFI | hushåll | bostadsrätter,"Utestående avtal, mnkr",837910
hushall_bolan,kredit,2016-05,MFI | hushåll | bostadsrätter,"Utestående avtal, mnkr",848775
hushall_bolan,kredit,2016-06,MFI | hushåll | bostadsrätter,"Utestående avtal, mnkr",859285
hushall_bolan,kredit,2016-07,MFI | hushåll | bostadsrätter,"Utestående avtal, mnkr",864565
hushall_bolan,kredit,2016-08,MFI | hushåll | bostadsrätter,"Utestående avtal, mnkr",870324
hushall_bolan,kredit,2016-09,MFI | hushåll | bostadsrätter,"Utestående avtal, mnkr",878638
hushall_bolan,kredit,2016-10,MFI | hushåll | bostadsrätter,"Utestående avtal, mnkr",884843
hushall_bolan,kredit,2016-11,MFI | hushåll | bostadsrätter,"Utestående avtal, mnkr",892937
hushall_bolan,kredit,2016-12,MFI | hushåll | bostadsrätter,"Utestående avtal, mnkr",902231
