serie,roll,tid,kategori,innehall,varde
krita_antal,bredd,2019-07,"1.1 Fastighet - Kontor, lokaler m.m.",Antal företag,15216
krita_antal,bredd,2019-08,"1.1 Fastighet - Kontor, lokaler m.m.",Antal företag,15347
krita_antal,bredd,2019-09,"1.1 Fastighet - Kontor, lokaler m.m.",Antal företag,15595
krita_antal,bredd,2019-10,"1.1 Fastighet - Kontor, lokaler m.m.",Antal företag,15624
krita_antal,bredd,2019-11,"1.1 Fastighet - Kontor, lokaler m.m.",Antal företag,15755
krita_antal,bredd,2019-12,"1.1 Fastighet - Kontor, lokaler m.m.",Antal företag,15903
krita_antal,bredd,2020-01,"1.1 Fastighet - Kontor, lokaler m.m.",Antal företag,15974
krita_antal,bredd,2020-02,"1.1 Fastighet - Kontor, lokaler m.m.",Antal företag,15975
krita_antal,bredd,2020-03,"1.1 Fastighet - Kontor, lokaler m.m.",Antal företag,15938
krita_antal,bredd,2020-04,"1.1 Fastighet - Kontor, lokaler m.m.",Antal företag,15837
krita_antal,bredd,2020-05,"1.1 Fastighet - Kontor, lokaler m.m.",Antal företag,15841
krita_antal,bredd,2020-06,"1.1 Fastighet - Kontor, lokaler m.m.",Antal företag,15812
krita_antal,bredd,2020-07,"1.1 Fastighet - Kontor, lokaler m.m.",Antal företag,15817
krita_antal,bredd,2020-08,"1.1 Fastighet - Kontor, lokaler m.m.",Antal företag,15864
krita_antal,bredd,2020-09,"1.1 Fastighet - Kontor, lokaler m.m.",Antal företag,16042
krita_antal,bredd,2020-10,"1.1 Fastighet - Kontor, lokaler m.m.",Antal företag,15863
krita_antal,bredd,2020-11,"1.1 Fastighet - Kontor, lokaler m.m.",Antal företag,15872
krita_antal,bredd,2020-12,"1.1 Fastighet - Kontor, lokaler m.m.",Antal företag,15895
krita_antal,bredd,2021-01,"1.1 Fastighet - Kontor, lokaler m.m.",Antal företag,16076
krita_antal,bredd,2021-02,"1.1 Fastighet - Kontor, lokaler m.m.",Antal företag,16019
krita_antal,bredd,2021-03,"1.1 Fastighet - Kontor, lokaler m.m.",Antal företag,16045
krita_antal,bredd,2021-04,"1.1 Fastighet - Kontor, lokaler m.m.",Antal företag,15979
krita_antal,bredd,2021-05,"1.1 Fastighet - Kontor, lokaler m.m.",Antal företag,16022
krita_antal,bredd,2021-06,"1.1 Fastighet - Kontor, lokaler m.m.",Antal företag,16093
krita_antal,bredd,2021-07,"1.1 Fastighet - Kontor, lokaler m.m.",Antal företag,16004
krita_antal,bredd,2021-08,"1.1 Fastighet - Kontor, lokaler m.m.",Antal företag,16092
krita_antal,bredd,2021-09,"1.1 Fastighet - Kontor, lokaler m.m.",Antal företag,16202
krita_antal,bredd,2021-10,"1.1 Fastighet - Kontor, lokaler m.m.",Antal företag,16081
krita_antal,bredd,2021-11,"1.1 Fastighet - Kontor, lokaler m.m.",Antal företag,16086
krita_antal,bredd,2021-12,"1.1 Fastighet - Kontor, lokaler m.m.",Antal företag,16189
krita_antal,bredd,2022-01,"1.1 Fastighet - Kontor, lokaler m.m.",Antal företag,16164
krita_antal,bredd,2022-02,"1.1 Fastighet - Kontor, lokaler m.m.",Antal företag,16253
krita_antal,bredd,2022-03,"1.1 Fastighet - Kontor, lokaler m.m.",Antal företag,16304
krita_antal,bredd,2022-04,"1.1 Fastighet - Kontor, lokaler m.m.",Antal företag,16309
krita_antal,bredd,2022-05,"1.1 Fastighet - Kontor, lokaler m.m.",Antal företag,16276
krita_antal,bredd,2022-06,"1.1 Fastighet - Kontor, lokaler m.m.",Antal företag,16242
krita_antal,bredd,2022-07,"1.1 Fastighet - Kontor, lokaler m.m.",Antal företag,16177
krita_antal,bredd,2022-08,"1.1 Fastighet - Kontor, lokaler m.m.",Antal företag,16210
krita_antal,bredd,2022-09,"1.1 Fastighet - Kontor, lokaler m.m.",Antal företag,16649
krita_antal,bredd,2022-10,"1.1 Fastighet - Kontor, lokaler m.m.",Antal företag,16525
krita_antal,bredd,2022-11,"1.1 Fastighet - Kontor, lokaler m.m.",Antal företag,16364
krita_antal,bredd,2022-12,"1.1 Fastighet - Kontor, lokaler m.m.",Antal företag,16363
krita_antal,bredd,2023-01,"1.1 Fastighet - Kontor, lokaler m.m.",Antal företag,16347
krita_antal,bredd,2023-02,"1.1 Fastighet - Kontor, lokaler m.m.",Antal företag,16406
krita_antal,bredd,2023-03,"1.1 Fastighet - Kontor, lokaler m.m.",Antal företag,16486
krita_antal,bredd,2023-04,"1.1 Fastighet - Kontor, lokaler m.m.",Antal företag,16303
krita_antal,bredd,2023-05,"1.1 Fastighet - Kontor, lokaler m.m.",Antal företag,16250
krita_antal,bredd,2023-06,"1.1 Fastighet - Kontor, lokaler m.m.",Antal företag,16297
krita_antal,bredd,2023-07,"1.1 Fastighet - Kontor, lokaler m.m.",Antal företag,16121
krita_antal,bredd,2023-08,"1.1 Fastighet - Kontor, lokaler m.m.",Antal företag,16163
krita_antal,bredd,2023-09,"1.1 Fastighet - Kontor, lokaler m.m.",Antal företag,16840
krita_antal,bredd,2023-10,"1.1 Fastighet - Kontor, lokaler m.m.",Antal företag,16587
krita_antal,bredd,2023-11,"1.1 Fastighet - Kontor, lokaler m.m.",Antal företag,16462
krita_antal,bredd,2023-12,"1.1 Fastighet - Kontor, lokaler m.m.",Antal företag,16569
krita_antal,bredd,2024-01,"1.1 Fastighet - Kontor, lokaler m.m.",Antal företag,16516
krita_antal,bredd,2024-02,"1.1 Fastighet - Kontor, lokaler m.m.",Antal företag,16397
krita_antal,bredd,2024-03,"1.1 Fastighet - Kontor, lokaler m.m.",Antal företag,16549
krita_antal,bredd,2024-04,"1.1 Fastighet - Kontor, lokaler m.m.",Antal företag,16346
krita_antal,bredd,2024-05,"1.1 Fastighet - Kontor, lokaler m.m.",Antal företag,16326
krita_antal,bredd,2024-06,"1.1 Fastighet - Kontor, lokaler m.m.",Antal företag,16436
krita_antal,bredd,2024-07,"1.1 Fastighet - Kontor, lokaler m.m.",Antal företag,16280
krita_antal,bredd,2024-08,"1.1 Fastighet - Kontor, lokaler m.m.",Antal företag,16340
krita_antal,bredd,2024-09,"1.1 Fastighet - Kontor, lokaler m.m.",Antal företag,16521
krita_antal,bredd,2024-10,"1.1 Fastighet - Kontor, lokaler m.m.",Antal företag,16398
krita_antal,bredd,2024-11,"1.1 Fastighet - Kontor, lokaler m.m.",Antal företag,16340
krita_antal,bredd,2024-12,"1.1 Fastighet - Kontor, lokaler m.m.",Antal företag,16364
krita_antal,bredd,2025-01,"1.1 Fastighet - Kontor, lokaler m.m.",Antal företag,16458
krita_antal,bredd,2025-02,"1.1 Fastighet - Kontor, lokaler m.m.",Antal företag,16466
krita_antal,bredd,2025-03,"1.1 Fastighet - Kontor, lokaler m.m.",Antal företag,16472
krita_antal,bredd,2025-04,"1.1 Fastighet - Kontor, lokaler m.m.",Antal företag,16398
krita_antal,bredd,2025-05,"1.1 Fastighet - Kontor, lokaler m.m.",Antal företag,16384
krita_antal,bredd,2025-06,"1.1 Fastighet - Kontor, lokaler m.m.",Antal företag,16465
