serie,roll,tid,kategori,innehall,varde
krita_volym,kredit,2019-07,"1.1 Fastighet - Kontor, lokaler m.m.","Utestående lånebelopp, mnkr",459304
krita_volym,kredit,2019-08,"1.1 Fastighet - Kontor, lokaler m.m.","Utestående lånebelopp, mnkr",466512
krita_volym,kredit,2019-09,"1.1 Fastighet - Kontor, lokaler m.m.","Utestående lånebelopp, mnkr",468623
krita_volym,kredit,2019-10,"1.1 Fastighet - Kontor, lokaler m.m.","Utestående lånebelopp, mnkr",471587
krita_volym,kredit,2019-11,"1.1 Fastighet - Kontor, lokaler m.m.","Utestående lånebelopp, mnkr",475110
krita_volym,kredit,2019-12,"1.1 Fastighet - Kontor, lokaler m.m.","Utestående lånebelopp, mnkr",476124
krita_volym,kredit,2020-01,"1.1 Fastighet - Kontor, lokaler m.m.","Utestående lånebelopp, mnkr",478128
krita_volym,kredit,2020-02,"1.1 Fastighet - Kontor, lokaler m.m.","Utestående lånebelopp, mnkr",479954
krita_volym,kredit,2020-03,"1.1 Fastighet - Kontor, lokaler m.m.","Utestående lånebelopp, mnkr",490126
krita_volym,kredit,2020-04,"1.1 Fastighet - Kontor, lokaler m.m.","Utestående lånebelopp, mnkr",503034
krita_volym,kredit,2020-05,"1.1 Fastighet - Kontor, lokaler m.m.","Utestående lånebelopp, mnkr",515650
krita_volym,kredit,2020-06,"1.1 Fastighet - Kontor, lokaler m.m.","Utestående lånebelopp, mnkr",510434
krita_volym,kredit,2020-07,"1.1 Fastighet - Kontor, lokaler m.m.","Utestående lånebelopp, mnkr",512052
krita_volym,kredit,2020-08,"1.1 Fastighet - Kontor, lokaler m.m.","Utestående lånebelopp, mnkr",516264
krita_volym,kredit,2020-09,"1.1 Fastighet - Kontor, lokaler m.m.","Utestående lånebelopp, mnkr",516135
krita_volym,kredit,2020-10,"1.1 Fastighet - Kontor, lokaler m.m.","Utestående lånebelopp, mnkr",519938
krita_volym,kredit,2020-11,"1.1 Fastighet - Kontor, lokaler m.m.","Utestående lånebelopp, mnkr",521827
krita_volym,kredit,2020-12,"1.1 Fastighet - Kontor, lokaler m.m.","Utestående lånebelopp, mnkr",518893
krita_volym,kredit,2021-01,"1.1 Fastighet - Kontor, lokaler m.m.","Utestående lånebelopp, mnkr",520475
krita_volym,kredit,2021-02,"1.1 Fastighet - Kontor, lokaler m.m.","Utestående lånebelopp, mnkr",521379
krita_volym,kredit,2021-03,"1.1 Fastighet - Kontor, lokaler m.m.","Utestående lånebelopp, mnkr",522593
krita_volym,kredit,2021-04,"1.1 Fastighet - Kontor, lokaler m.m.","Utestående lånebelopp, mnkr",528645
krita_volym,kredit,2021-05,"1.1 Fastighet - Kontor, lokaler m.m.","Utestående lånebelopp, mnkr",523019
krita_volym,kredit,2021-06,"1.1 Fastighet - Kontor, lokaler m.m.","Utestående lånebelopp, mnkr",521458
krita_volym,kredit,2021-07,"1.1 Fastighet - Kontor, lokaler m.m.","Utestående lånebelopp, mnkr",529259
krita_volym,kredit,2021-08,"1.1 Fastighet - Kontor, lokaler m.m.","Utestående lånebelopp, mnkr",537557
krita_volym,kredit,2021-09,"1.1 Fastighet - Kontor, lokaler m.m.","Utestående lånebelopp, mnkr",524874
krita_volym,kredit,2021-10,"1.1 Fastighet - Kontor, lokaler m.m.","Utestående lånebelopp, mnkr",519777
krita_volym,kredit,2021-11,"1.1 Fastighet - Kontor, lokaler m.m.","Utestående lånebelopp, mnkr",532553
krita_volym,kredit,2021-12,"1.1 Fastighet - Kontor, lokaler m.m.","Utestående lånebelopp, mnkr",537944
krita_volym,kredit,2022-01,"1.1 Fastighet - Kontor, lokaler m.m.","Utestående lånebelopp, mnkr",544719
krita_volym,kredit,2022-02,"1.1 Fastighet - Kontor, lokaler m.m.","Utestående lånebelopp, mnkr",554782
krita_volym,kredit,2022-03,"1.1 Fastighet - Kontor, lokaler m.m.","Utestående lånebelopp, mnkr",563946
krita_volym,kredit,2022-04,"1.1 Fastighet - Kontor, lokaler m.m.","Utestående lånebelopp, mnkr",571412
krita_volym,kredit,2022-05,"1.1 Fastighet - Kontor, lokaler m.m.","Utestående lånebelopp, mnkr",579061
krita_volym,kredit,2022-06,"1.1 Fastighet - Kontor, lokaler m.m.","Utestående lånebelopp, mnkr",586393
krita_volym,kredit,2022-07,"1.1 Fastighet - Kontor, lokaler m.m.","Utestående lånebelopp, mnkr",589929
krita_volym,kredit,2022-08,"1.1 Fastighet - Kontor, lokaler m.m.","Utestående lånebelopp, mnkr",595281
krita_volym,kredit,2022-09,"1.1 Fastighet - Kontor, lokaler m.m.","Utestående lånebelopp, mnkr",603023
krita_volym,kredit,2022-10,"1.1 Fastighet - Kontor, lokaler m.m.","Utestående lånebelopp, mnkr",608658
krita_volym,kredit,2022-11,"1.1 Fastighet - Kontor, lokaler m.m.","Utestående lånebelopp, mnkr",613681
krita_volym,kredit,2022-12,"1.1 Fastighet - Kontor, lokaler m.m.","Utestående lånebelopp, mnkr",615527
krita_volym,kredit,2023-01,"1.1 Fastighet - Kontor, lokaler m.m.","Utestående lånebelopp, mnkr",622392
krita_volym,kredit,2023-02,"1.1 Fastighet - Kontor, lokaler m.m.","Utestående lånebelopp, mnkr",625595
krita_volym,kredit,2023-03,"1.1 Fastighet - Kontor, lokaler m.m.","Utestående lånebelopp, mnkr",631687
krita_volym,kredit,2023-04,"1.1 Fastighet - Kontor, lokaler m.m.","Utestående lånebelopp, mnkr",631565
krita_volym,kredit,2023-05,"1.1 Fastighet - Kontor, lokaler m.m.","Utestående lånebelopp, mnkr",643148
krita_volym,kredit,2023-06,"1.1 Fastighet - Kontor, lokaler m.m.","Utestående lånebelopp, mnkr",629950
krita_volym,kredit,2023-07,"1.1 Fastighet - Kontor, lokaler m.m.","Utestående lånebelopp, mnkr",632362
krita_volym,kredit,2023-08,"1.1 Fastighet - Kontor, lokaler m.m.","Utestående lånebelopp, mnkr",636257
krita_volym,kredit,2023-09,"1.1 Fastighet - Kontor, lokaler m.m.","Utestående lånebelopp, mnkr",636457
krita_volym,kredit,2023-10,"1.1 Fastighet - Kontor, lokaler m.m.","Utestående lånebelopp, mnkr",633066
krita_volym,kredit,2023-11,"1.1 Fastighet - Kontor, lokaler m.m.","Utestående lånebelopp, mnkr",628918
krita_volym,kredit,2023-12,"1.1 Fastighet - Kontor, lokaler m.m.","Utestående lånebelopp, mnkr",621813
krita_volym,kredit,2024-01,"1.1 Fastighet - Kontor, lokaler m.m.","Utestående lånebelopp, mnkr",623251
krita_volym,kredit,2024-02,"1.1 Fastighet - Kontor, lokaler m.m.","Utestående lånebelopp, mnkr",618898
krita_volym,kredit,2024-03,"1.1 Fastighet - Kontor, lokaler m.m.","Utestående lånebelopp, mnkr",621940
krita_volym,kredit,2024-04,"1.1 Fastighet - Kontor, lokaler m.m.","Utestående lånebelopp, mnkr",623925
krita_volym,kredit,2024-05,"1.1 Fastighet - Kontor, lokaler m.m.","Utestående lånebelopp, mnkr",627655
krita_volym,kredit,2024-06,"1.1 Fastighet - Kontor, lokaler m.m.","Utestående lånebelopp, mnkr",624965
krita_volym,kredit,2024-07,"1.1 Fastighet - Kontor, lokaler m.m.","Utestående lånebelopp, mnkr",623178
krita_volym,kredit,2024-08,"1.1 Fastighet - Kontor, lokaler m.m.","Utestående lånebelopp, mnkr",621654
krita_volym,kredit,2024-09,"1.1 Fastighet - Kontor, lokaler m.m.","Utestående lånebelopp, mnkr",617770
krita_volym,kredit,2024-10,"1.1 Fastighet - Kontor, lokaler m.m.","Utestående lånebelopp, mnkr",622588
krita_volym,kredit,2024-11,"1.1 Fastighet - Kontor, lokaler m.m.","Utestående lånebelopp, mnkr",620161
krita_volym,kredit,2024-12,"1.1 Fastighet - Kontor, lokaler m.m.","Utestående lånebelopp, mnkr",623749
krita_volym,kredit,2025-01,"1.1 Fastighet - Kontor, lokaler m.m.","Utestående lånebelopp, mnkr",627260
krita_volym,kredit,2025-02,"1.1 Fastighet - Kontor, lokaler m.m.","Utestående lånebelopp, mnkr",631513
krita_volym,kredit,2025-03,"1.1 Fastighet - Kontor, lokaler m.m.","Utestående lånebelopp, mnkr",636960
krita_volym,kredit,2025-04,"1.1 Fastighet - Kontor, lokaler m.m.","Utestående lånebelopp, mnkr",642092
krita_volym,kredit,2025-05,"1.1 Fastighet - Kontor, lokaler m.m.","Utestående lånebelopp, mnkr",651656
krita_volym,kredit,2025-06,"1.1 Fastighet - Kontor, lokaler m.m.","Utestående lånebelopp, mnkr",652490
krita_volym,kredit,2025-07,"1.1 Fastighet - Kontor, lokaler m.m.","Utestående lånebelopp, mnkr",653590
krita_volym,kredit,2025-08,"1.1 Fastighet - Kontor, lokaler m.m.","Utestående lånebelopp, mnkr",657431
krita_volym,kredit,2025-09,"1.1 Fastighet - Kontor, lokaler m.m.","Utestående lånebelopp, mnkr",651124
krita_volym,kredit,2025-10,"1.1 Fastighet - Kontor, lokaler m.m.","Utestående lånebelopp, mnkr",653080
krita_volym,kredit,2025-11,"1.1 Fastighet - Kontor, lokaler m.m.","Utestående lånebelopp, mnkr",648973
krita_volym,kredit,2025-12,"1.1 Fastighet - Kontor, lokaler m.m.","Utestående lånebelopp, mnkr",649994
krita_volym,kredit,2026-01,"1.1 Fastighet - Kontor, lokaler m.m.","Utestående lånebelopp, mnkr",649551
krita_volym,kredit,2026-02,"1.1 Fastighet - Kontor, lokaler m.m.","Utestående lånebelopp, mnkr",651891
krita_volym,kredit,2026-03,"1.1 Fastighet - Kontor, lokaler m.m.","Utestående lånebelopp, mnkr",654550
krita_volym,kredit,2026-04,"1.1 Fastighet - Kontor, lokaler m.m.","Utestående lånebelopp, mnkr",663838
krita_volym,kredit,2026-05,"1.1 Fastighet - Kontor, lokaler m.m.","Utestående lånebelopp, mnkr",666614
krita_volym,kredit,2026-06,"1.1 Fastighet - Kontor, lokaler m.m.","Utestående lånebelopp, mnkr",672207
krita_volym,kredit,2026-07,"1.1 Fastighet - Kontor, lokaler m.m.","Utestående lånebelopp, mnkr",673408
krita_volym,kredit,2019-07,1.2 Fastighet - Bostäder,"Utestående lånebelopp, mnkr",500599
krita_volym,kredit,2019-08,1.2 Fastighet - Bostäder,"Utestående lånebelopp, mnkr",502248
krita_volym,kredit,2019-09,1.2 Fastighet - Bostäder,"Utestående lånebelopp, mnkr",504761
krita_volym,kredit,2019-10,1.2 Fastighet - Bostäder,"Utestående lånebelopp, mnkr",512295
krita_volym,kredit,2019-11,1.2 Fastighet - Bostäder,"Utestående lånebelopp, mnkr",520694
krita_volym,kredit,2019-12,1.2 Fastighet - Bostäder,"Utestående lånebelopp, mnkr",523964
krita_volym,kredit,2020-01,1.2 Fastighet - Bostäder,"Utestående lånebelopp, mnkr",526871
krita_volym,kredit,2020-02,1.2 Fastighet - Bostäder,"Utestående lånebelopp, mnkr",525161
krita_volym,kredit,2020-03,1.2 Fastighet - Bostäder,"Utestående lånebelopp, mnkr",536438
