serie,roll,tid,kategori,innehall,varde
pabörjade,namnare,2015-01,Riket | flerbostadshus,Påbörjade lägenheter i nybyggda hus,9120
pabörjade,namnare,2015-04,Riket | flerbostadshus,Påbörjade lägenheter i nybyggda hus,9834
pabörjade,namnare,2015-07,Riket | flerbostadshus,Påbörjade lägenheter i nybyggda hus,9488
pabörjade,namnare,2015-10,Riket | flerbostadshus,Påbörjade lägenheter i nybyggda hus,8738
pabörjade,namnare,2016-01,Riket | flerbostadshus,Påbörjade lägenheter i nybyggda hus,12232
pabörjade,namnare,2016-04,Riket | flerbostadshus,Påbörjade lägenheter i nybyggda hus,12774
pabörjade,namnare,2016-07,Riket | flerbostadshus,Påbörjade lägenheter i nybyggda hus,11542
pabörjade,namnare,2016-10,Riket | flerbostadshus,Påbörjade lägenheter i nybyggda hus,11730
pabörjade,namnare,2017-01,Riket | flerbostadshus,Påbörjade lägenheter i nybyggda hus,13789
pabörjade,namnare,2017-04,Riket | flerbostadshus,Påbörjade lägenheter i nybyggda hus,14386
pabörjade,namnare,2017-07,Riket | flerbostadshus,Påbörjade lägenheter i nybyggda hus,10105
pabörjade,namnare,2017-10,Riket | flerbostadshus,Påbörjade lägenheter i nybyggda hus,12847
pabörjade,namnare,2018-01,Riket | flerbostadshus,Påbörjade lägenheter i nybyggda hus,10275
pabörjade,namnare,2018-04,Riket | flerbostadshus,Påbörjade lägenheter i nybyggda hus,11262
pabörjade,namnare,2018-07,Riket | flerbostadshus,Påbörjade lägenheter i nybyggda hus,8757
pabörjade,namnare,2018-10,Riket | flerbostadshus,Påbörjade lägenheter i nybyggda hus,11105
pabörjade,namnare,2019-01,Riket | flerbostadshus,Påbörjade lägenheter i nybyggda hus,9595
pabörjade,namnare,2019-04,Riket | flerbostadshus,Påbörjade lägenheter i nybyggda hus,11138
pabörjade,namnare,2019-07,Riket | flerbostadshus,Påbörjade lägenheter i nybyggda hus,6279
pabörjade,namnare,2019-10,Riket | flerbostadshus,Påbörjade lägenheter i nybyggda hus,11229
pabörjade,namnare,2020-01,Riket | flerbostadshus,Påbörjade lägenheter i nybyggda hus,10210
pabörjade,namnare,2020-04,Riket | flerbostadshus,Påbörjade lägenheter i nybyggda hus,11260
pabörjade,namnare,2020-07,Riket | flerbostadshus,Påbörjade lägenheter i nybyggda hus,10415
pabörjade,namnare,2020-10,Riket | flerbostadshus,Påbörjade lägenheter i nybyggda hus,12646
pabörjade,namnare,2021-01,Riket | flerbostadshus,Påbörjade lägenheter i nybyggda hus,13118
pabörjade,namnare,2021-04,Riket | flerbostadshus,Påbörjade lägenheter i nybyggda hus,14994
pabörjade,namnare,2021-07,Riket | flerbostadshus,Påbörjade lägenheter i nybyggda hus,10011
pabörjade,namnare,2021-10,Riket | flerbostadshus,Påbörjade lägenheter i nybyggda hus,15815
pabörjade,namnare,2022-01,Riket | flerbostadshus,Påbörjade lägenheter i nybyggda hus,12303
pabörjade,namnare,2022-04,Riket | flerbostadshus,Påbörjade lägenheter i nybyggda hus,14033
pabörjade,namnare,2022-07,Riket | flerbostadshus,Påbörjade lägenheter i nybyggda hus,8523
pabörjade,namnare,2022-10,Riket | flerbostadshus,Påbörjade lägenheter i nybyggda hus,8331
