serie,roll,tid,kategori,innehall,varde
styrranta,pris,2015-01,Totalt,Policyränta,0.0
styrranta,pris,2015-02,Totalt,Policyränta,-0.1
styrranta,pris,2015-03,Totalt,Policyränta,-0.25
styrranta,pris,2015-04,Totalt,Policyränta,-0.25
styrranta,pris,2015-05,Totalt,Policyränta,-0.25
styrranta,pris,2015-06,Totalt,Policyränta,-0.25
styrranta,pris,2015-07,Totalt,Policyränta,-0.35
styrranta,pris,2015-08,Totalt,Policyränta,-0.35
styrranta,pris,2015-09,Totalt,Policyränta,-0.35
styrranta,pris,2015-10,Totalt,Policyränta,-0.35
styrranta,pris,2015-11,Totalt,Policyränta,-0.35
styrranta,pris,2015-12,Totalt,Policyränta,-0.35
styrranta,pris,2016-01,Totalt,Policyränta,-0.35
styrranta,pris,2016-02,Totalt,Policyränta,-0.5
styrranta,pris,2016-03,Totalt,Policyränta,-0.5
styrranta,pris,2016-04,Totalt,Policyränta,-0.5
styrranta,pris,2016-05,Totalt,Policyränta,-0.5
styrranta,pris,2016-06,Totalt,Policyränta,-0.5
styrranta,pris,2016-07,Totalt,Policyränta,-0.5
styrranta,pris,2016-08,Totalt,Policyränta,-0.5
styrranta,pris,2016-09,Totalt,Policyränta,-0.5
styrranta,pris,2016-10,Totalt,Policyränta,-0.5
styrranta,pris,2016-11,Totalt,Policyränta,-0.5
styrranta,pris,2016-12,Totalt,Policyränta,-0.5
styrranta,pris,2017-01,Totalt,Policyränta,-0.5
styrranta,pris,2017-02,Totalt,Policyränta,-0.5
styrranta,pris,2017-03,Totalt,Policyränta,-0.5
styrranta,pris,2017-04,Totalt,Policyränta,-0.5
styrranta,pris,2017-05,Totalt,Policyränta,-0.5
styrranta,pris,2017-06,Totalt,Policyränta,-0.5
styrranta,pris,2017-07,Totalt,Policyränta,-0.5
styrranta,pris,2017-08,Totalt,Policyränta,-0.5
styrranta,pris,2017-09,Totalt,Policyränta,-0.5
styrranta,pris,2017-10,Totalt,Policyränta,-0.5
styrranta,pris,2017-11,Totalt,Policyränta,-0.5
styrranta,pris,2017-12,Totalt,Policyränta,-0.5
styrranta,pris,2018-01,Totalt,Policyränta,-0.5
styrranta,pris,2018-02,Totalt,Policyränta,-0.5
styrranta,pris,2018-03,Totalt,Policyränta,-0.5
styrranta,pris,2018-04,Totalt,Policyränta,-0.5
styrranta,pris,2018-05,Totalt,Policyränta,-0.5
styrranta,pris,2018-06,Totalt,Policyränta,-0.5
styrranta,pris,2018-07,Totalt,Policyränta,-0.5
styrranta,pris,2018-08,Totalt,Policyränta,-0.5
styrranta,pris,2018-09,Totalt,Policyränta,-0.5
styrranta,pris,2018-10,Totalt,Policyränta,-0.5
styrranta,pris,2018-11,Totalt,Policyränta,-0.5
styrranta,pris,2018-12,Totalt,Policyränta,-0.5
styrranta,pris,2019-01,Totalt,Policyränta,-0.25
styrranta,pris,2019-02,Totalt,Policyränta,-0.25
styrranta,pris,2019-03,Totalt,Policyränta,-0.25
styrranta,pris,2019-04,Totalt,Policyränta,-0.25
styrranta,pris,2019-05,Totalt,Policyränta,-0.25
styrranta,pris,2019-06,Totalt,Policyränta,-0.25
styrranta,pris,2019-07,Totalt,Policyränta,-0.25
styrranta,pris,2019-08,Totalt,Policyränta,-0.25
styrranta,pris,2019-09,Totalt,Policyränta,-0.25
styrranta,pris,2019-10,Totalt,Policyränta,-0.25
styrranta,pris,2019-11,Totalt,Policyränta,-0.25
styrranta,pris,2019-12,Totalt,Policyränta,-0.25
styrranta,pris,2020-01,Totalt,Policyränta,0.0
styrranta,pris,2020-02,Totalt,Policyränta,0.0
styrranta,pris,2020-03,Totalt,Policyränta,0.0
styrranta,pris,2020-04,Totalt,Policyränta,0.0
styrranta,pris,2020-05,Totalt,Policyränta,0.0
styrranta,pris,2020-06,Totalt,Policyränta,0.0
styrranta,pris,2020-07,Totalt,Policyränta,0.0
styrranta,pris,2020-08,Totalt,Policyränta,0.0
styrranta,pris,2020-09,Totalt,Policyränta,0.0
styrranta,pris,2020-10,Totalt,Policyränta,0.0
styrranta,pris,2020-11,Totalt,Policyränta,0.0
styrranta,pris,2020-12,Totalt,Policyränta,0.0
styrranta,pris,2021-01,Totalt,Policyränta,0.0
styrranta,pris,2021-02,Totalt,Policyränta,0.0
styrranta,pris,2021-03,Totalt,Policyränta,0.0
styrranta,pris,2021-04,Totalt,Policyränta,0.0
styrranta,pris,2021-05,Totalt,Policyränta,0.0
styrranta,pris,2021-06,Totalt,Policyränta,0.0
styrranta,pris,2021-07,Totalt,Policyränta,0.0
styrranta,pris,2021-08,Totalt,Policyränta,0.0
styrranta,pris,2021-09,Totalt,Policyränta,0.0
styrranta,pris,2021-10,Totalt,Policyränta,0.0
styrranta,pris,2021-11,Totalt,Policyränta,0.0
styrranta,pris,2021-12,Totalt,Policyränta,0.0
styrranta,pris,2022-01,Totalt,Policyränta,0.0
styrranta,pris,2022-02,Totalt,Policyränta,0.0
styrranta,pris,2022-03,Totalt,Policyränta,0.0
styrranta,pris,2022-04,Totalt,Policyränta,0.0
styrranta,pris,2022-05,Totalt,Policyränta,0.25
styrranta,pris,2022-06,Totalt,Policyränta,0.25
styrranta,pris,2022-07,Totalt,Policyränta,0.75
styrranta,pris,2022-08,Totalt,Policyränta,0.75
styrranta,pris,2022-09,Totalt,Policyränta,1.75
styrranta,pris,2022-10,Totalt,Policyränta,1.75
styrranta,pris,2022-11,Totalt,Policyränta,2.5
styrranta,pris,2022-12,Totalt,Policyränta,2.5
styrranta,pris,2023-01,Totalt,Policyränta,2.5
styrranta,pris,2023-02,Totalt,Policyränta,3.0
styrranta,pris,2023-03,Totalt,Policyränta,3.0
styrranta,pris,2023-04,Totalt,Policyränta,3.0
styrranta,pris,2023-05,Totalt,Policyränta,3.5
styrranta,pris,2023-06,Totalt,Policyränta,3.5
styrranta,pris,2023-07,Totalt,Policyränta,3.75
styrranta,pris,2023-08,Totalt,Policyränta,3.75
styrranta,pris,2023-09,Totalt,Policyränta,4.0
styrranta,pris,2023-10,Totalt,Policyränta,4.0
styrranta,pris,2023-11,Totalt,Policyränta,4.0
styrranta,pris,2023-12,Totalt,Policyränta,4.0
styrranta,pris,2024-01,Totalt,Policyränta,4.0
styrranta,pris,2024-02,Totalt,Policyränta,4.0
styrranta,pris,2024-03,Totalt,Policyränta,4.0
styrranta,pris,2024-04,Totalt,Policyränta,4.0
styrranta,pris,2024-05,Totalt,Policyränta,3.75
styrranta,pris,2024-06,Totalt,Policyränta,3.75
styrranta,pris,2024-07,Totalt,Policyränta,3.75
styrranta,pris,2024-08,Totalt,Policyränta,3.5
styrranta,pris,2024-09,Totalt,Policyränta,3.5
styrranta,pris,2024-10,Totalt,Policyränta,3.25
styrranta,pris,2024-11,Totalt,Policyränta,2.75
styrranta,pris,2024-12,Totalt,Policyränta,2.75
styrranta,pris,2025-01,Totalt,Policyränta,2.5
styrranta,pris,2025-02,Totalt,Policyränta,2.25
styrranta,pris,2025-03,Totalt,Policyränta,2.25
styrranta,pris,2025-04,Totalt,Policyränta,2.25
styrranta,pris,2025-05,Totalt,Policyränta,2.25
styrranta,pris,2025-06,Totalt,Policyränta,2.0
styrranta,pris,2025-07,Totalt,Policyränta,2.0
styrranta,pris,2025-08,Totalt,Policyränta,2.0
styrranta,pris,2025-09,Totalt,Policyränta,2.0
styrranta,pris,2025-10,Totalt,Policyränta,1.75
styrranta,pris,2025-11,Totalt,Policyränta,1.75
styrranta,pris,2025-12,Totalt,Policyränta,1.75
styrranta,pris,2026-01,Totalt,Policyränta,1.75
styrranta,pris,2026-02,Totalt,Policyränta,1.75
styrranta,pris,2026-03,Totalt,Policyränta,1.75
styrranta,pris,2026-04,Totalt,Policyränta,1.75
styrranta,pris,2026-05,Totalt,Policyränta,1.75
styrranta,pris,2026-06,Totalt,Policyränta,1.75
styrranta,pris,2026-07,Totalt,Policyränta,1.75
styrranta,pris,2026-08,Totalt,Policyränta,1.75
styrranta,pris,2026-09,Totalt,Policyränta,1.75
