serie,roll,tid,kategori,innehall,varde
krita_volym,kredit,2019-07,"1. Totalt, samtliga branscher","Utestående lånebelopp, mnkr",2193907.0
krita_volym,kredit,2019-08,"1. Totalt, samtliga branscher","Utestående lånebelopp, mnkr",2199994.0
krita_volym,kredit,2019-09,"1. Totalt, samtliga branscher","Utestående lånebelopp, mnkr",2205499.0
krita_volym,kredit,2019-10,"1. Totalt, samtliga branscher","Utestående lånebelopp, mnkr",2227409.0
krita_volym,kredit,2019-11,"1. Totalt, samtliga branscher","Utestående lånebelopp, mnkr",2237001.0
krita_volym,kredit,2019-12,"1. Totalt, samtliga branscher","Utestående lånebelopp, mnkr",2212149.0
krita_volym,kredit,2020-01,"1. Totalt, samtliga branscher","Utestående lånebelopp, mnkr",2237104.0
krita_volym,kredit,2020-02,"1. Totalt, samtliga branscher","Utestående lånebelopp, mnkr",2252885.0
krita_volym,kredit,2020-03,"1. Totalt, samtliga branscher","Utestående lånebelopp, mnkr",2289670.0
krita_volym,kredit,2020-04,"1. Totalt, samtliga branscher","Utestående lånebelopp, mnkr",2328725.0
krita_volym,kredit,2020-05,"1. Totalt, samtliga branscher","Utestående lånebelopp, mnkr",2348675.0
krita_volym,kredit,2020-06,"1. Totalt, samtliga branscher","Utestående lånebelopp, mnkr",2328441.0
krita_volym,kredit,2020-07,"1. Totalt, samtliga branscher","Utestående lånebelopp, mnkr",2327881.0
krita_volym,kredit,2020-08,"1. Totalt, samtliga branscher","Utestående lånebelopp, mnkr",2324156.0
krita_volym,kredit,2020-09,"1. Totalt, samtliga branscher","Utestående lånebelopp, mnkr",2304235.0
krita_volym,kredit,2020-10,"1. Totalt, samtliga branscher","Utestående lånebelopp, mnkr",2291775.0
krita_volym,kredit,2020-11,"1. Totalt, samtliga branscher","Utestående lånebelopp, mnkr",2301577.0
krita_volym,kredit,2020-12,"1. Totalt, samtliga branscher","Utestående lånebelopp, mnkr",2279111.0
krita_volym,kredit,2021-01,"1. Totalt, samtliga branscher","Utestående lånebelopp, mnkr",2289054.0
krita_volym,kredit,2021-02,"1. Totalt, samtliga branscher","Utestående lånebelopp, mnkr",2293903.0
krita_volym,kredit,2021-03,"1. Totalt, samtliga branscher","Utestående lånebelopp, mnkr",2289409.0
krita_volym,kredit,2021-04,"1. Totalt, samtliga branscher","Utestående lånebelopp, mnkr",2305370.0
krita_volym,kredit,2021-05,"1. Totalt, samtliga branscher","Utestående lånebelopp, mnkr",2304092.0
krita_volym,kredit,2021-06,"1. Totalt, samtliga branscher","Utestående lånebelopp, mnkr",2310306.0
krita_volym,kredit,2021-07,"1. Totalt, samtliga branscher","Utestående lånebelopp, mnkr",2334048.0
krita_volym,kredit,2021-08,"1. Totalt, samtliga branscher","Utestående lånebelopp, mnkr",2352099.0
krita_volym,kredit,2021-09,"1. Totalt, samtliga branscher","Utestående lånebelopp, mnkr",2332897.0
krita_volym,kredit,2021-10,"1. Totalt, samtliga branscher","Utestående lånebelopp, mnkr",2354694.0
krita_volym,kredit,2021-11,"1. Totalt, samtliga branscher","Utestående lånebelopp, mnkr",2374515.0
krita_volym,kredit,2021-12,"1. Totalt, samtliga branscher","Utestående lånebelopp, mnkr",2427137.0
krita_volym,kredit,2022-01,"1. Totalt, samtliga branscher","Utestående lånebelopp, mnkr",2444801.0
krita_volym,kredit,2022-02,"1. Totalt, samtliga branscher","Utestående lånebelopp, mnkr",2493891.0
krita_volym,kredit,2022-03,"1. Totalt, samtliga branscher","Utestående lånebelopp, mnkr",2541543.0
krita_volym,kredit,2022-04,"1. Totalt, samtliga branscher","Utestående lånebelopp, mnkr",2592868.0
krita_volym,kredit,2022-05,"1. Totalt, samtliga branscher","Utestående lånebelopp, mnkr",2629695.0
krita_volym,kredit,2022-06,"1. Totalt, samtliga branscher","Utestående lånebelopp, mnkr",2638563.0
krita_volym,kredit,2022-07,"1. Totalt, samtliga branscher","Utestående lånebelopp, mnkr",2670079.0
krita_volym,kredit,2022-08,"1. Totalt, samtliga branscher","Utestående lånebelopp, mnkr",2704859.0
krita_volym,kredit,2022-09,"1. Totalt, samtliga branscher","Utestående lånebelopp, mnkr",2726455.0
krita_volym,kredit,2022-10,"1. Totalt, samtliga branscher","Utestående lånebelopp, mnkr",2746383.0
krita_volym,kredit,2022-11,"1. Totalt, samtliga branscher","Utestående lånebelopp, mnkr",2766668.0
krita_volym,kredit,2022-12,"1. Totalt, samtliga branscher","Utestående lånebelopp, mnkr",2759453.0
krita_volym,kredit,2023-01,"1. Totalt, samtliga branscher","Utestående lånebelopp, mnkr",2794525.0
krita_volym,kredit,2023-02,"1. Totalt, samtliga branscher","Utestående lånebelopp, mnkr",2790744.0
krita_volym,kredit,2023-03,"1. Totalt, samtliga branscher","Utestående lånebelopp, mnkr",2783139.0
krita_volym,kredit,2023-04,"1. Totalt, samtliga branscher","Utestående lånebelopp, mnkr",2793916.0
krita_volym,kredit,2023-05,"1. Totalt, samtliga branscher","Utestående lånebelopp, mnkr",2804865.0
krita_volym,kredit,2023-06,"1. Totalt, samtliga branscher","Utestående lånebelopp, mnkr",2821027.0
krita_volym,kredit,2023-07,"1. Totalt, samtliga branscher","Utestående lånebelopp, mnkr",2822322.0
krita_volym,kredit,2023-08,"1. Totalt, samtliga branscher","Utestående lånebelopp, mnkr",2837416.0
krita_volym,kredit,2023-09,"1. Totalt, samtliga branscher","Utestående lånebelopp, mnkr",2844252.0
krita_volym,kredit,2023-10,"1. Totalt, samtliga branscher","Utestående lånebelopp, mnkr",2837020.0
krita_volym,kredit,2023-11,"1. Totalt, samtliga branscher","Utestående lånebelopp, mnkr",2815957.0
krita_volym,kredit,2023-12,"1. Totalt, samtliga branscher","Utestående lånebelopp, mnkr",2776690.0
krita_volym,kredit,2024-01,"1. Totalt, samtliga branscher","Utestående lånebelopp, mnkr",2785911.0
krita_volym,kredit,2024-02,"1. Totalt, samtliga branscher","Utestående lånebelopp, mnkr",2770820.0
krita_volym,kredit,2024-03,"1. Totalt, samtliga branscher","Utestående lånebelopp, mnkr",2783743.0
krita_volym,kredit,2024-04,"1. Totalt, samtliga branscher","Utestående lånebelopp, mnkr",2792523.0
krita_volym,kredit,2024-05,"1. Totalt, samtliga branscher","Utestående lånebelopp, mnkr",2791249.0
krita_volym,kredit,2024-06,"1. Totalt, samtliga branscher","Utestående lånebelopp, mnkr",2784534.0
krita_volym,kredit,2024-07,"1. Totalt, samtliga branscher","Utestående lånebelopp, mnkr",2781552.0
krita_volym,kredit,2024-08,"1. Totalt, samtliga branscher","Utestående lånebelopp, mnkr",2770744.0
krita_volym,kredit,2024-09,"1. Totalt, samtliga branscher","Utestående lånebelopp, mnkr",2771956.0
krita_volym,kredit,2024-10,"1. Totalt, samtliga branscher","Utestående lånebelopp, mnkr",2775894.0
krita_volym,kredit,2024-11,"1. Totalt, samtliga branscher","Utestående lånebelopp, mnkr",2772951.0
krita_volym,kredit,2024-12,"1. Totalt, samtliga branscher","Utestående lånebelopp, mnkr",2780162.0
krita_volym,kredit,2025-01,"1. Totalt, samtliga branscher","Utestående lånebelopp, mnkr",2783672.0
krita_volym,kredit,2025-02,"1. Totalt, samtliga branscher","Utestående lånebelopp, mnkr",2789018.0
krita_volym,kredit,2025-03,"1. Totalt, samtliga branscher","Utestående lånebelopp, mnkr",2790838.0
krita_volym,kredit,2025-04,"1. Totalt, samtliga branscher","Utestående lånebelopp, mnkr",2822577.0
krita_volym,kredit,2025-05,"1. Totalt, samtliga branscher","Utestående lånebelopp, mnkr",2842247.0
krita_volym,kredit,2025-06,"1. Totalt, samtliga branscher","Utestående lånebelopp, mnkr",2835476.0
krita_volym,kredit,2025-07,"1. Totalt, samtliga branscher","Utestående lånebelopp, mnkr",2861699.0
krita_volym,kredit,2025-08,"1. Totalt, samtliga branscher","Utestående lånebelopp, mnkr",2851778.0
krita_volym,kredit,2025-09,"1. Totalt, samtliga branscher","Utestående lånebelopp, mnkr",2843930.0
krita_volym,kredit,2025-10,"1. Totalt, samtliga branscher","Utestående lånebelopp, mnkr",2851403.0
krita_volym,kredit,2025-11,"1. Totalt, samtliga branscher","Utestående lånebelopp, mnkr",2864553.0
krita_volym,kredit,2025-12,"1. Totalt, samtliga branscher","Utestående lånebelopp, mnkr",2847828.0
krita_volym,kredit,2026-01,"1. Totalt, samtliga branscher","Utestående lånebelopp, mnkr",2850844.0
krita_volym,kredit,2026-02,"1. Totalt, samtliga branscher","Utestående lånebelopp, mnkr",2871735.0
krita_volym,kredit,2026-03,"1. Totalt, samtliga branscher","Utestående lånebelopp, mnkr",2875414.0
krita_volym,kredit,2026-04,"1. Totalt, samtliga branscher","Utestående lånebelopp, mnkr",2897611.0
krita_volym,kredit,2026-05,"1. Totalt, samtliga branscher","Utestående lånebelopp, mnkr",2926036.0
krita_volym,kredit,2026-06,"1. Totalt, samtliga branscher","Utestående lånebelopp, mnkr",2941031.0
krita_volym,kredit,2026-07,"1. Totalt, samtliga branscher","Utestående lånebelopp, mnkr",2949884.0
krita_volym,kredit,2019-07,"1.1 Fastighet - Kontor, lokaler m.m.","Utestående lånebelopp, mnkr",459304.0
krita_volym,kredit,2019-08,"1.1 Fastighet - Kontor, lokaler m.m.","Utestående lånebelopp, mnkr",466512.0
krita_volym,kredit,2019-09,"1.1 Fastighet - Kontor, lokaler m.m.","Utestående lånebelopp, mnkr",468623.0
krita_volym,kredit,2019-10,"1.1 Fastighet - Kontor, lokaler m.m.","Utestående lånebelopp, mnkr",471587.0
krita_volym,kredit,2019-11,"1.1 Fastighet - Kontor, lokaler m.m.","Utestående lånebelopp, mnkr",475110.0
krita_volym,kredit,2019-12,"1.1 Fastighet - Kontor, lokaler m.m.","Utestående lånebelopp, mnkr",476124.0
krita_volym,kredit,2020-01,"1.1 Fastighet - Kontor, lokaler m.m.","Utestående lånebelopp, mnkr",478128.0
krita_volym,kredit,2020-02,"1.1 Fastighet - Kontor, lokaler m.m.","Utestående lånebelopp, mnkr",479954.0
krita_volym,kredit,2020-03,"1.1 Fastighet - Kontor, lokaler m.m.","Utestående lånebelopp, mnkr",490126.0
krita_volym,kredit,2020-04,"1.1 Fastighet - Kontor, lokaler m.m.","Utestående lånebelopp, mnkr",503034.0
krita_volym,kredit,2020-05,"1.1 Fastighet - Kontor, lokaler m.m.","Utestående lånebelopp, mnkr",515650.0
krita_volym,kredit,2020-06,"1.1 Fastighet - Kontor, lokaler m.m.","Utestående lånebelopp, mnkr",510434.0
krita_volym,kredit,2020-07,"1.1 Fastighet - Kontor, lokaler m.m.","Utestående lånebelopp, mnkr",512052.0
krita_volym,kredit,2020-08,"1.1 Fastighet - Kontor, lokaler m.m.","Utestående lånebelopp, mnkr",516264.0
krita_volym,kredit,2020-09,"1.1 Fastighet - Kontor, lokaler m.m.","Utestående lånebelopp, mnkr",516135.0
krita_volym,kredit,2020-10,"1.1 Fastighet - Kontor, lokaler m.m.","Utestående lånebelopp, mnkr",519938.0
krita_volym,kredit,2020-11,"1.1 Fastighet - Kontor, lokaler m.m.","Utestående lånebelopp, mnkr",521827.0
krita_volym,kredit,2020-12,"1.1 Fastighet - Kontor, lokaler m.m.","Utestående lånebelopp, mnkr",518893.0
krita_volym,kredit,2021-01,"1.1 Fastighet - Kontor, lokaler m.m.","Utestående lånebelopp, mnkr",520475.0
krita_volym,kredit,2021-02,"1.1 Fastighet - Kontor, lokaler m.m.","Utestående lånebelopp, mnkr",521379.0
krita_volym,kredit,2021-03,"1.1 Fastighet - Kontor, lokaler m.m.","Utestående lånebelopp, mnkr",522593.0
krita_volym,kredit,2021-04,"1.1 Fastighet - Kontor, lokaler m.m.","Utestående lånebelopp, mnkr",528645.0
krita_volym,kredit,2021-05,"1.1 Fastighet - Kontor, lokaler m.m.","Utestående lånebelopp, mnkr",523019.0
krita_volym,kredit,2021-06,"1.1 Fastighet - Kontor, lokaler m.m.","Utestående lånebelopp, mnkr",521458.0
krita_volym,kredit,2021-07,"1.1 Fastighet - Kontor, lokaler m.m.","Utestående lånebelopp, mnkr",529259.0
krita_volym,kredit,2021-08,"1.1 Fastighet - Kontor, lokaler m.m.","Utestående lånebelopp, mnkr",537557.0
krita_volym,kredit,2021-09,"1.1 Fastighet - Kontor, lokaler m.m.","Utestående lånebelopp, mnkr",524874.0
krita_volym,kredit,2021-10,"1.1 Fastighet - Kontor, lokaler m.m.","Utestående lånebelopp, mnkr",519777.0
krita_volym,kredit,2021-11,"1.1 Fastighet - Kontor, lokaler m.m.","Utestående lånebelopp, mnkr",532553.0
krita_volym,kredit,2021-12,"1.1 Fastighet - Kontor, lokaler m.m.","Utestående lånebelopp, mnkr",537944.0
krita_volym,kredit,2022-01,"1.1 Fastighet - Kontor, lokaler m.m.","Utestående lånebelopp, mnkr",544719.0
krita_volym,kredit,2022-02,"1.1 Fastighet - Kontor, lokaler m.m.","Utestående lånebelopp, mnkr",554782.0
krita_volym,kredit,2022-03,"1.1 Fastighet - Kontor, lokaler m.m.","Utestående lånebelopp, mnkr",563946.0
krita_volym,kredit,2022-04,"1.1 Fastighet - Kontor, lokaler m.m.","Utestående lånebelopp, mnkr",571412.0
krita_volym,kredit,2022-05,"1.1 Fastighet - Kontor, lokaler m.m.","Utestående lånebelopp, mnkr",579061.0
krita_volym,kredit,2022-06,"1.1 Fastighet - Kontor, lokaler m.m.","Utestående lånebelopp, mnkr",586393.0
krita_volym,kredit,2022-07,"1.1 Fastighet - Kontor, lokaler m.m.","Utestående lånebelopp, mnkr",589929.0
krita_volym,kredit,2022-08,"1.1 Fastighet - Kontor, lokaler m.m.","Utestående lånebelopp, mnkr",595281.0
krita_volym,kredit,2022-09,"1.1 Fastighet - Kontor, lokaler m.m.","Utestående lånebelopp, mnkr",603023.0
krita_volym,kredit,2022-10,"1.1 Fastighet - Kontor, lokaler m.m.","Utestående lånebelopp, mnkr",608658.0
krita_volym,kredit,2022-11,"1.1 Fastighet - Kontor, lokaler m.m.","Utestående lånebelopp, mnkr",613681.0
krita_volym,kredit,2022-12,"1.1 Fastighet - Kontor, lokaler m.m.","Utestående lånebelopp, mnkr",615527.0
krita_volym,kredit,2023-01,"1.1 Fastighet - Kontor, lokaler m.m.","Utestående lånebelopp, mnkr",622392.0
krita_volym,kredit,2023-02,"1.1 Fastighet - Kontor, lokaler m.m.","Utestående lånebelopp, mnkr",625595.0
krita_volym,kredit,2023-03,"1.1 Fastighet - Kontor, lokaler m.m.","Utestående lånebelopp, mnkr",631687.0
krita_volym,kredit,2023-04,"1.1 Fastighet - Kontor, lokaler m.m.","Utestående lånebelopp, mnkr",631565.0
krita_volym,kredit,2023-05,"1.1 Fastighet - Kontor, lokaler m.m.","Utestående lånebelopp, mnkr",643148.0
krita_volym,kredit,2023-06,"1.1 Fastighet - Kontor, lokaler m.m.","Utestående lånebelopp, mnkr",629950.0
krita_volym,kredit,2023-07,"1.1 Fastighet - Kontor, lokaler m.m.","Utestående lånebelopp, mnkr",632362.0
krita_volym,kredit,2023-08,"1.1 Fastighet - Kontor, lokaler m.m.","Utestående lånebelopp, mnkr",636257.0
krita_volym,kredit,2023-09,"1.1 Fastighet - Kontor, lokaler m.m.","Utestående lånebelopp, mnkr",636457.0
