kvartal,paborjade_lgh
1975-01-01,8479.0
1975-04-01,11298.0
1975-07-01,12166.0
1975-10-01,19402.0
1976-01-01,10718.0
1976-04-01,16060.0
1976-07-01,13670.0
1976-10-01,16770.0
1977-01-01,9422.0
1977-04-01,13138.0
1977-07-01,12856.0
1977-10-01,18538.0
1978-01-01,11258.0
1978-04-01,14924.0
1978-07-01,14300.0
1978-10-01,16812.0
1979-01-01,10445.0
1979-04-01,15474.0
1979-07-01,13726.0
1979-10-01,16391.0
1980-01-01,10083.0
1980-04-01,12860.0
1980-07-01,12240.0
1980-10-01,14928.0
1981-01-01,8916.0
1981-04-01,10834.0
1981-07-01,11103.0
1981-10-01,13601.0
1982-01-01,8988.0
1982-04-01,10271.0
1982-07-01,10340.0
1982-10-01,12330.0
1983-01-01,8989.0
1983-04-01,9025.0
1983-07-01,8710.0
1983-10-01,11052.0
1984-01-01,6913.0
1984-04-01,8987.0
1984-07-01,7489.0
1984-10-01,10679.0
1985-01-01,7412.0
1985-04-01,6981.0
1985-07-01,6098.0
1985-10-01,7048.0
1986-01-01,5657.0
1986-04-01,7272.0
1986-07-01,7492.0
1986-10-01,10345.0
1987-01-01,7356.0
1987-04-01,8923.0
1987-07-01,9787.0
1987-10-01,13748.0
1988-01-01,11143.0
1988-04-01,12063.0
1988-07-01,12546.0
1988-10-01,15071.0
1989-01-01,13041.0
1989-04-01,15445.0
1989-07-01,14116.0
1989-10-01,16277.0
1990-01-01,15286.0
1990-04-01,16784.0
1990-07-01,16622.0
1990-10-01,20934.0
1991-01-01,14374.0
1991-04-01,14748.0
1991-07-01,13191.0
1991-10-01,14542.0
1992-01-01,10743.0
1992-04-01,16270.0
1992-07-01,5605.0
1992-10-01,16845.0
1993-01-01,3629.0
1993-04-01,2058.0
1993-07-01,1609.0
1993-10-01,4615.0
1994-01-01,1817.0
1994-04-01,2736.0
1994-07-01,2582.0
1994-10-01,4725.0
1995-01-01,2236.0
1995-04-01,2130.0
1995-07-01,2760.0
1995-10-01,5609.0
1996-01-01,2964.0
1996-04-01,3631.0
1996-07-01,2952.0
1996-10-01,3210.0
1997-01-01,1531.0
1997-04-01,2872.0
1997-07-01,2799.0
1997-10-01,4770.0
1998-01-01,2114.0
1998-04-01,3134.0
1998-07-01,2371.0
1998-10-01,5012.0
1999-01-01,2795.0
1999-04-01,3629.0
1999-07-01,3858.0
1999-10-01,4287.0
2000-01-01,3282.0
2000-04-01,4991.0
2000-07-01,3787.0
2000-10-01,4763.0
2001-01-01,4113.0
2001-04-01,4960.0
2001-07-01,5675.0
2001-10-01,4653.0
2002-01-01,4837.0
2002-04-01,5390.0
2002-07-01,4117.0
2002-10-01,4707.0
2003-01-01,4786.0
2003-04-01,5757.0
2003-07-01,4689.0
2003-10-01,6820.0
2004-01-01,6117.0
2004-04-01,7860.0
2004-07-01,5586.0
2004-10-01,7756.0
2005-01-01,7358.0
2005-04-01,9001.0
2005-07-01,6346.0
2005-10-01,9082.0
2006-01-01,7675.0
2006-04-01,9568.0
2006-07-01,8674.0
2006-10-01,19347.0
2007-01-01,6777.0
2007-04-01,6652.0
2007-07-01,6656.0
2007-10-01,7459.0
2008-01-01,6101.0
2008-04-01,5831.0
2008-07-01,4004.0
2008-10-01,5259.0
2009-01-01,3842.0
2009-04-01,4602.0
2009-07-01,4047.0
2009-10-01,5452.0
2010-01-01,5616.0
2010-04-01,8336.0
2010-07-01,5600.0
2010-10-01,7969.0
2011-01-01,8003.0
2011-04-01,8226.0
2011-07-01,4939.0
2011-10-01,5495.0
2012-01-01,5580.0
2012-04-01,6211.0
2012-07-01,4395.0
2012-10-01,5107.0
2013-01-01,7345.0
2013-04-01,7804.0
2013-07-01,6496.0
2013-10-01,8932.0
2014-01-01,8720.0
2014-04-01,9220.0
2014-07-01,7734.0
2014-10-01,11023.0
2015-01-01,11303.0
2015-04-01,13155.0
2015-07-01,11744.0
2015-10-01,11878.0
2016-01-01,14902.0
2016-04-01,16452.0
2016-07-01,14825.0
2016-10-01,15036.0
2017-01-01,17122.0
2017-04-01,17800.0
2017-07-01,12804.0
2017-10-01,16265.0
2018-01-01,13120.0
2018-04-01,14527.0
2018-07-01,11142.0
2018-10-01,13600.0
2019-01-01,12067.0
2019-04-01,14134.0
2019-07-01,8779.0
2019-10-01,14048.0
2020-01-01,12992.0
2020-04-01,14057.0
2020-07-01,12800.0
2020-10-01,15758.0
2021-01-01,16429.0
2021-04-01,18785.0
2021-07-01,13300.0
2021-10-01,19359.0
2022-01-01,15720.0
2022-04-01,18072.0
2022-07-01,11057.0
2022-10-01,10840.0
2023-01-01,7612.0
2023-04-01,7077.0
2023-07-01,5862.0
2023-10-01,7926.0
2024-01-01,8243.0
2024-04-01,7453.0
2024-07-01,5117.0
2024-10-01,6370.0
2025-01-01,6548.0
2025-04-01,7615.0
2025-07-01,7387.0
2025-10-01,7803.0
2026-01-01,6775.0
2026-04-01,7413.0
