"region","kön","näringsgren SNI 2007","födelseregion","sysselsatta efter arbetsställets belägenhet 2020","sysselsatta efter arbetsställets belägenhet 2021","sysselsatta efter arbetsställets belägenhet 2022","sysselsatta efter arbetsställets belägenhet 2023","sysselsatta efter arbetsställets belägenhet 2024","sysselsatta efter bostadens belägenhet 2020","sysselsatta efter bostadens belägenhet 2021","sysselsatta efter bostadens belägenhet 2022","sysselsatta efter bostadens belägenhet 2023","sysselsatta efter bostadens belägenhet 2024"
"00 Riket","män","A-U+US Total","totalt",2605321,2634890,2715398,2742775,2722934,2625513,2652849,2735445,2763978,2747160
"00 Riket","män","A-U+US Total","inrikes född",2072569,2077896,2112624,2115159,2097469,2085026,2088573,2124842,2127907,2111741
"00 Riket","män","A-U+US Total","utrikes född",532752,556994,602775,627616,625464,540486,564277,610604,636071,635420
"00 Riket","män","A företag inom jordbruk, skogsbruk och fiske","totalt",71711,70210,68872,67333,67444,71712,70210,68873,67333,67445
"00 Riket","män","A företag inom jordbruk, skogsbruk och fiske","inrikes född",67373,65804,64434,62836,62823,67374,65805,64435,62837,62824
"00 Riket","män","A företag inom jordbruk, skogsbruk och fiske","utrikes född",4337,4406,4438,4496,4622,4337,4406,4438,4496,4622
"00 Riket","män","B+C tillverkningsindustri; gruvor och mineralutvinningsindustri","totalt",411287,413252,420133,421237,419814,411321,413282,420162,421264,419844
"00 Riket","män","B+C tillverkningsindustri; gruvor och mineralutvinningsindustri","inrikes född",341989,340755,341629,338712,335380,342015,340780,341652,338735,335403
"00 Riket","män","B+C tillverkningsindustri; gruvor och mineralutvinningsindustri","utrikes född",69298,72497,78504,82524,84433,69306,72503,78510,82529,84440
"00 Riket","män","D+E företag inom energi och miljö","totalt",40094,40867,41696,42079,43615,40094,40867,41696,42080,43617
"00 Riket","män","D+E företag inom energi och miljö","inrikes född",35979,36514,36952,37038,38288,35979,36514,36952,37038,38290
"00 Riket","män","D+E företag inom energi och miljö","utrikes född",4115,4352,4745,5040,5327,4115,4352,4745,5041,5327
"00 Riket","män","F byggindustri","totalt",324982,329280,338794,341787,330890,324983,329297,338819,341829,330928
"00 Riket","män","F byggindustri","inrikes född",274451,275490,279405,279083,272206,274452,275507,279430,279123,272243
"00 Riket","män","F byggindustri","utrikes född",50532,53791,59390,62703,58684,50532,53791,59390,62705,58685
"00 Riket","män","G handel; serviceverkstäder för motorfordon och motorcyklar","totalt",327629,330378,337161,339179,338164,327629,330378,337161,339179,338165
