"region","kön","näringsgren SNI 2007","födelseregion","sysselsatta efter arbetsställets belägenhet 2020","sysselsatta efter arbetsställets belägenhet 2021","sysselsatta efter arbetsställets belägenhet 2022","sysselsatta efter arbetsställets belägenhet 2023","sysselsatta efter arbetsställets belägenhet 2024","sysselsatta efter bostadens belägenhet 2020","sysselsatta efter bostadens belägenhet 2021","sysselsatta efter bostadens belägenhet 2022","sysselsatta efter bostadens belägenhet 2023","sysselsatta efter bostadens belägenhet 2024"
"00 Riket","män","A-U+US Total","totalt",2592237,2659917,2720197,2729072,2708863,2611760,2678035,2740364,2750549,2733267
"00 Riket","män","A-U+US Total","inrikes född",2056805,2083220,2106723,2100650,2081709,2068681,2093899,2118897,2113415,2095978
"00 Riket","män","A-U+US Total","utrikes född",535429,576692,613477,628418,627150,543078,584133,621471,637137,637284
"00 Riket","män","A företag inom jordbruk, skogsbruk och fiske","totalt",71171,69538,68337,66868,67558,71169,69538,68337,66868,67558
"00 Riket","män","A företag inom jordbruk, skogsbruk och fiske","inrikes född",66821,65052,63826,62244,62549,66824,65052,63826,62245,62549
"00 Riket","män","A företag inom jordbruk, skogsbruk och fiske","utrikes född",4348,4487,4509,4621,5009,4348,4487,4509,4621,5009
"00 Riket","män","B+C tillverkningsindustri; gruvor och mineralutvinningsindustri","totalt",406134,412158,418271,416543,416222,406166,412189,418301,416574,416254
"00 Riket","män","B+C tillverkningsindustri; gruvor och mineralutvinningsindustri","inrikes född",336855,337865,338152,333727,331917,336879,337889,338174,333750,331941
"00 Riket","män","B+C tillverkningsindustri; gruvor och mineralutvinningsindustri","utrikes född",69277,74293,80120,82821,84303,69287,74298,80128,82828,84310
"00 Riket","män","D+E företag inom energi och miljö","totalt",40056,40965,40522,42414,43657,40056,40965,40522,42414,43657
"00 Riket","män","D+E företag inom energi och miljö","inrikes född",35904,36506,35716,37294,38222,35904,36506,35716,37294,38224
"00 Riket","män","D+E företag inom energi och miljö","utrikes född",4157,4461,4810,5123,5434,4157,4461,4810,5123,5434
"00 Riket","män","F byggindustri","totalt",327855,335091,346085,340837,331896,327855,335103,346129,340884,331930
"00 Riket","män","F byggindustri","inrikes född",275992,278222,283957,278503,272049,275992,278232,283995,278546,272079
"00 Riket","män","F byggindustri","utrikes född",51862,56869,62134,62338,59847,51862,56869,62135,62340,59848
