"region","Skattesats, total kommunal 1993","Skattesats, total kommunal 1994","Skattesats, total kommunal 1995","Skattesats, total kommunal 1996","Skattesats, total kommunal 1997","Skattesats, total kommunal 1998","Skattesats, total kommunal 1999","Skattesats till kommun 1993","Skattesats till kommun 1994","Skattesats till kommun 1995","Skattesats till kommun 1996","Skattesats till kommun 1997","Skattesats till kommun 1998","Skattesats till kommun 1999","Skattesats till landsting 1993","Skattesats till landsting 1994","Skattesats till landsting 1995","Skattesats till landsting 1996","Skattesats till landsting 1997","Skattesats till landsting 1998","Skattesats till landsting 1999","Skattesats till församling 1993","Skattesats till församling 1994","Skattesats till församling 1995","Skattesats till församling 1996","Skattesats till församling 1997","Skattesats till församling 1998","Skattesats till församling 1999"
"00 Riket",31.04,31.05,31.50,31.65,31.66,31.65,31.48,19.43,19.44,20.20,21.15,21.16,21.18,20.55,10.47,10.48,10.12,9.32,9.31,9.28,9.74,1.14,1.14,1.17,1.18,1.19,1.19,1.19
"18 Örebro län",32.78,32.78,32.80,32.85,32.84,32.84,32.84,19.42,19.42,20.66,21.00,20.99,20.99,21.19,12.15,12.15,10.92,10.63,10.63,10.63,10.43,1.22,1.21,1.22,1.22,1.21,1.21,1.22
"1814 Lekeberg",0.00,0.00,33.18,33.18,33.17,33.17,33.17,0.00,0.00,20.73,21.02,21.02,21.02,21.22,0.00,0.00,10.92,10.63,10.63,10.63,10.43,0.00,0.00,1.53,1.53,1.52,1.52,1.52
"1860 Laxå",33.32,33.34,33.36,33.36,33.38,33.38,33.38,19.70,19.70,20.93,21.22,21.22,21.22,21.42,12.15,12.15,10.92,10.63,10.63,10.63,10.43,1.47,1.49,1.51,1.51,1.53,1.53,1.53
"1861 Hallsberg",32.50,32.50,32.50,33.02,33.02,33.02,33.03,19.20,19.20,20.43,21.22,21.22,21.22,21.42,12.15,12.15,10.92,10.63,10.63,10.63,10.43,1.15,1.15,1.15,1.17,1.17,1.17,1.18
"1862 Degerfors",32.84,32.84,32.84,32.84,32.84,32.84,32.84,19.60,19.60,20.83,21.12,21.12,21.12,21.32,12.15,12.15,10.92,10.63,10.63,10.63,10.43,1.09,1.09,1.09,1.09,1.09,1.09,1.09
"1863 Hällefors",33.18,33.18,33.18,33.18,33.18,33.20,33.20,19.70,19.70,20.93,21.22,21.22,21.22,21.42,12.15,12.15,10.92,10.63,10.63,10.63,10.43,1.33,1.33,1.33,1.33,1.33,1.35,1.35
"1864 Ljusnarsberg",33.33,33.33,33.33,33.33,33.33,33.33,33.33,19.70,19.70,20.93,21.22,21.22,21.22,21.42,12.15,12.15,10.92,10.63,10.63,10.63,10.43,1.48,1.48,1.48,1.48,1.48,1.48,1.48
"1880 Örebro",32.81,32.81,32.80,32.80,32.76,32.77,32.77,19.50,19.50,20.73,21.02,21.02,21.02,21.22,12.15,12.15,10.92,10.63,10.63,10.63,10.43,1.16,1.16,1.15,1.15,1.11,1.12,1.12
"1881 Kumla",32.18,32.18,32.18,32.18,32.18,32.18,32.18,18.70,18.70,19.93,20.22,20.22,20.22,20.42,12.15,12.15,10.92,10.63,10.63,10.63,10.43,1.33,1.33,1.33,1.33,1.33,1.33,1.33
"1882 Askersund",32.58,32.58,32.58,32.59,32.59,32.63,32.69,19.20,19.20,20.43,20.72,20.72,20.72,20.92,12.15,12.15,10.92,10.63,10.63,10.63,10.43,1.23,1.23,1.23,1.24,1.24,1.28,1.34
"1883 Karlskoga",32.89,32.89,32.89,32.89,32.89,32.89,32.89,19.70,19.70,20.93,21.22,21.22,21.22,21.42,12.15,12.15,10.92,10.63,10.63,10.63,10.43,1.04,1.04,1.04,1.04,1.04,1.04,1.04
"1884 Nora",32.62,32.62,32.92,32.92,33.02,33.01,33.11,19.00,19.00,20.53,20.82,20.82,20.82,21.02,12.15,12.15,10.92,10.63,10.63,10.63,10.43,1.47,1.47,1.47,1.47,1.57,1.56,1.66
"1885 Lindesberg",32.85,32.84,32.84,33.04,33.04,33.04,33.04,19.20,19.20,20.43,20.92,20.92,20.92,21.12,12.15,12.15,10.92,10.63,10.63,10.63,10.43,1.50,1.49,1.49,1.49,1.49,1.49,1.49
