"näringsgren SNI 2007","Lönesumma, miljarder kr 2007","Lönesumma, miljarder kr 2008","Lönesumma, miljarder kr 2009","Lönesumma, miljarder kr 2010","Lönesumma, miljarder kr 2011","Lönesumma, miljarder kr 2012","Lönesumma, miljarder kr 2013","Lönesumma, miljarder kr 2014","Lönesumma, miljarder kr 2015","Lönesumma, miljarder kr 2016","Lönesumma, miljarder kr 2017","Lönesumma, miljarder kr 2018","Lönesumma, miljarder kr 2019","Lönesumma, miljarder kr 2020","Lönesumma, miljarder kr 2021","Lönesumma, miljarder kr 2022","Lönesumma, miljarder kr 2023","Lönesumma, miljarder kr 2024","Preliminär A-skatt, miljarder kr 2007","Preliminär A-skatt, miljarder kr 2008","Preliminär A-skatt, miljarder kr 2009","Preliminär A-skatt, miljarder kr 2010","Preliminär A-skatt, miljarder kr 2011","Preliminär A-skatt, miljarder kr 2012","Preliminär A-skatt, miljarder kr 2013","Preliminär A-skatt, miljarder kr 2014","Preliminär A-skatt, miljarder kr 2015","Preliminär A-skatt, miljarder kr 2016","Preliminär A-skatt, miljarder kr 2017","Preliminär A-skatt, miljarder kr 2018","Preliminär A-skatt, miljarder kr 2019","Preliminär A-skatt, miljarder kr 2020","Preliminär A-skatt, miljarder kr 2021","Preliminär A-skatt, miljarder kr 2022","Preliminär A-skatt, miljarder kr 2023","Preliminär A-skatt, miljarder kr 2024","Arbetställen 2007","Arbetställen 2008","Arbetställen 2009","Arbetställen 2010","Arbetställen 2011","Arbetställen 2012","Arbetställen 2013","Arbetställen 2014","Arbetställen 2015","Arbetställen 2016","Arbetställen 2017","Arbetställen 2018","Arbetställen 2019","Arbetställen 2020","Arbetställen 2021","Arbetställen 2022","Arbetställen 2023","Arbetställen 2024","ÅrsAgi/KU 2007","ÅrsAgi/KU 2008","ÅrsAgi/KU 2009","ÅrsAgi/KU 2010","ÅrsAgi/KU 2011","ÅrsAgi/KU 2012","ÅrsAgi/KU 2013","ÅrsAgi/KU 2014","ÅrsAgi/KU 2015","ÅrsAgi/KU 2016","ÅrsAgi/KU 2017","ÅrsAgi/KU 2018","ÅrsAgi/KU 2019","ÅrsAgi/KU 2020","ÅrsAgi/KU 2021","ÅrsAgi/KU 2022","ÅrsAgi/KU 2023","ÅrsAgi/KU 2024"
"A företag inom jordbruk, skogsbruk och fiske",8.4,8.9,9.2,9.8,10.4,10.5,10.6,11.0,11.1,11.3,11.6,11.9,12.4,12.9,13.6,14.1,14.9,15.9,2.5,2.6,2.6,2.7,2.8,2.8,2.9,2.9,2.9,3.0,3.1,3.2,3.4,3.5,3.6,3.7,3.9,4.1,14675,14472,14748,15155,15362,15298,15232,15046,14775,14323,13982,13780,13546,13621,13531,14022,13965,14193,86396,86961,85548,88935,89918,87022,85620,84652,83270,81466,80337,80637,79397,80428,80640,82180,82066,82765
"B+C tillverkningsindustri; gruvor och mineralutvinningsindustri",217.7,221.7,206.8,206.7,217.8,221.5,218.6,221.3,225.2,221.4,225.9,237.6,243.2,239.7,255.0,268.1,279.2,291.5,70.7,70.3,62.8,62.2,65.9,66.8,66.1,66.1,68.1,67.4,68.8,72.8,73.5,71.4,76.4,79.7,80.9,82.9,28051,27767,27379,27097,27073,26859,26656,26434,26154,25940,25597,25598,25449,25099,25340,27433,27421,27275,918174,869120,782786,757265,773855,746661,720726,710724,708942,696867,702385,712850,709192,668939,696508,719546,709840,703227
"D+E företag inom energi och miljö",15.2,16.3,17.0,17.4,18.2,19.2,20.0,20.8,21.4,21.8,22.7,23.7,24.5,26.1,27.8,28.6,31.3,33.7,5.0,5.3,5.2,5.3,5.6,5.9,6.1,6.3,6.5,6.7,7.1,7.4,7.5,7.9,8.4,8.6,9.1,9.6,2743,2842,2907,2889,2979,3028,3078,3129,3144,3131,3119,3090,3059,3093,3155,3440,3459,3540,66244,65815,61376,62636,65119,65246,65645,66308,68965,68279,70370,70004,70432,70482,73513,75762,78379,80735
"F byggindustri",73.5,80.2,80.6,83.9,91.1,96.3,98.3,102.3,109.1,116.7,125.3,134.4,139.9,143.0,151.4,163.4,169.6,167.9,22.7,24.2,23.2,23.7,25.8,27.3,27.9,28.6,30.7,33.4,36.1,38.9,40.1,40.7,43.1,46.1,46.9,45.4,34406,35690,36970,39401,42132,43393,44612,45845,47501,48933,50314,51439,53074,55102,57771,61029,63046,61671,368115,379365,370779,395398,410806,407971,408561,413524,433809,450725,468716,483888,485482,479947,503111,533938,517320,492016
"G handel; serviceverkstäder för motorfordon och motorcyklar",137.6,145.2,145.0,151.4,160.4,166.5,171.4,177.2,184.6,192.0,199.9,207.6,214.5,214.5,226.1,240.8,250.0,256.6,43.7,44.7,42.5,43.8,46.6,48.2,49.7,50.7,53.5,56.5,59.4,61.7,63.3,62.5,66.0,70.0,71.1,71.3,70224,70467,71270,71550,72848,73015,73321,72965,73118,72407,72123,71647,71471,70657,71209,73356,73261,72397,849353,847830,805982,819566,841308,838144,837581,842407,861072,876889,893413,907195,892286,851399,893312,930334,906746,886270
"H transport- och magasineringsföretag",58.4,62.4,61.3,63.6,66.9,67.8,68.8,70.6,72.2,74.5,77.4,80.8,86.4,83.6,87.1,91.8,95.0,98.2,17.6,18.2,17.2,17.6,18.5,18.6,18.9,19.0,19.7,20.6,21.4,22.4,23.6,22.6,23.5,24.5,24.9,25.0,20535,20566,19986,20151,20225,20093,19795,19487,19076,18916,18917,19042,19210,18987,18752,20275,21145,21014,368962,368489,345199,349606,353609,348929,343737,340517,338341,343642,352087,363845,370179,352276,356775,373241,364397,362103
"I hotell och restauranger",20.2,22.1,23.2,25.0,27.0,29.3,31.4,33.5,35.8,38.3,40.0,41.7,43.6,38.9,39.2,48.3,51.3,53.3,5.5,5.9,5.9,6.3,6.8,7.3,7.9,8.3,9.0,9.7,10.2,10.7,11.1,9.8,9.7,11.9,12.4,12.6,19264,19691,20321,20966,21519,21914,22361,22726,23107,23202,23535,23601,24237,24382,25030,27399,27992,27864,360086,369371,351255,364669,377687,390325,400897,413760,434827,453434,463682,469454,457417,376756,392405,492860,483480,476964
"J informations- och kommunikationsföretag",62.3,66.5,67.7,68.1,71.6,74.2,76.7,80.1,82.6,96.2,101.3,106.6,116.1,121.4,133.4,145.2,157.2,160.6,22.3,23.2,22.5,22.6,23.7,24.3,24.9,25.9,27.0,32.8,34.7,36.4,39.0,40.0,44.5,47.8,50.7,51.7,15683,16351,16540,16865,18246,19151,19892,20774,21595,22502,23803,25392,27016,28247,29750,30771,32271,32682,290178,292642,274058,274600,283447,277746,273712,279321,280106,302761,317101,326633,311097,304283,336535,353737,358464,341010
"K kreditinstitut och försäkringsbolag m.m.",39.8,42.2,41.3,42.5,44.5,45.0,46.2,48.3,50.3,51.9,53.7,56.1,58.5,61.8,66.3,72.7,77.6,82.7,15.7,16.2,15.2,15.7,16.3,16.3,16.8,17.6,18.5,19.6,20.2,21.1,21.7,22.1,23.8,26.2,27.2,28.7,7244,7551,7313,7375,7507,7719,7654,7870,7935,7846,7756,7917,7821,7848,7889,8165,8229,8269,145181,144545,136202,136141,137094,133456,133218,135194,137051,137137,140310,146250,137406,136632,142118,155212,156331,153476
"L fastighetsbolag och fastighetsförvaltare",18.9,19.8,20.3,20.9,22.0,22.7,24.3,25.4,27.2,28.8,30.1,31.6,33.7,35.0,37.4,38.7,39.5,40.8,6.2,6.3,6.1,6.2,6.6,6.7,7.2,7.5,8.2,8.8,9.3,9.8,10.3,10.6,11.4,11.6,11.5,11.6,26828,27299,28226,28973,29902,30424,30966,31769,32530,33408,34290,34981,35155,36157,37023,36016,36436,36752,222753,215904,221048,225780,232782,234702,242707,245908,254042,265244,270667,276240,268821,267655,273453,281543,285393,285189
