"region","näringsgren SNI 2007","Fasta bruttoinvesteringar, löpande priser, mnkr 2000","Fasta bruttoinvesteringar, löpande priser, mnkr 2001","Fasta bruttoinvesteringar, löpande priser, mnkr 2002","Fasta bruttoinvesteringar, löpande priser, mnkr 2003","Fasta bruttoinvesteringar, löpande priser, mnkr 2004","Fasta bruttoinvesteringar, löpande priser, mnkr 2005","Fasta bruttoinvesteringar, löpande priser, mnkr 2006","Fasta bruttoinvesteringar, löpande priser, mnkr 2007","Fasta bruttoinvesteringar, löpande priser, mnkr 2008","Fasta bruttoinvesteringar, löpande priser, mnkr 2009","Fasta bruttoinvesteringar, löpande priser, mnkr 2010","Fasta bruttoinvesteringar, löpande priser, mnkr 2011","Fasta bruttoinvesteringar, löpande priser, mnkr 2012","Fasta bruttoinvesteringar, löpande priser, mnkr 2013","Fasta bruttoinvesteringar, löpande priser, mnkr 2014","Fasta bruttoinvesteringar, löpande priser, mnkr 2015","Fasta bruttoinvesteringar, löpande priser, mnkr 2016","Fasta bruttoinvesteringar, löpande priser, mnkr 2017","Fasta bruttoinvesteringar, löpande priser, mnkr 2018","Fasta bruttoinvesteringar, löpande priser, mnkr 2019","Fasta bruttoinvesteringar, löpande priser, mnkr 2020","Fasta bruttoinvesteringar, löpande priser, mnkr 2021","Fasta bruttoinvesteringar, löpande priser, mnkr 2022","Fasta bruttoinvesteringar, löpande priser, mnkr 2023","Fasta bruttoinvesteringar, löpande priser, mnkr 2024"
"00 Riket","hela ekonomin, totalt",523750,555575,564083,569972,603268,629617,703233,778676,813894,733520,782994,830127,828987,835789,899482,983314,1048624,1124621,1176008,1197155,1229784,1360714,1488467,1561103,1594801
"00 Riket","A01-F43 varuproducenter",182638,195700,184688,185012,185406,203196,214802,240277,248723,222621,229330,236983,238397,237500,252114,273410,276752,284793,309732,315092,316711,348725,376681,444872,463667
"00 Riket","G45-T98 tjänsteproducenter",248508,258780,268750,274168,304284,318524,365073,407540,422509,366827,396445,433383,424685,427653,466691,525291,576470,626169,634062,638707,656275,745766,826837,798845,794123
"00 Riket","ej branschfördelade poster",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"00 Riket","offentliga myndigheter samt hushållens icke-vinstdrivande organisationer",92604,101095,110645,110792,113578,107897,123358,130859,142662,144072,157219,159761,165905,170636,180677,184613,195402,213659,232214,243356,256798,266223,284949,317386,337011
"RIKS1 Stockholms län","hela ekonomin, totalt",147581,144948,157935,148604,160438,156209,179270,198021,206322,199266,213966,270930,266801,282571,301453,329543,344354,342224,359652,367789,387936,452832,449285,459009,481167
"RIKS1 Stockholms län","A01-F43 varuproducenter",30422,30541,28491,27972,31518,35178,35820,49213,42611,41695,45962,54990,52259,55701,67009,64988,63201,44151,55531,68515,68164,76610,67995,81411,85300
"RIKS1 Stockholms län","G45-T98 tjänsteproducenter",91790,85568,99102,91207,99761,97569,117240,119481,134170,128799,131393,170249,167681,172938,180146,210887,220145,235979,238618,231429,250522,307276,308713,299190,309044
"RIKS1 Stockholms län","ej branschfördelade poster",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"RIKS1 Stockholms län","offentliga myndigheter samt hushållens icke-vinstdrivande organisationer",25369,28839,30342,29425,29159,23462,26210,29327,29541,28772,36611,45691,46861,53932,54298,53668,61008,62094,65503,67845,69250,68946,72577,78408,86823
"RIKS2 Östra mellansverige","hela ekonomin, totalt",80629,84257,82205,87575,91517,102573,106446,120218,130551,115163,123529,125634,121156,116311,128919,142828,153945,171561,175708,195950,206120,181860,233007,219709,211328
"RIKS2 Östra mellansverige","A01-F43 varuproducenter",31503,32588,28676,29832,30684,32929,33984,35078,41651,40625,36184,36747,35798,37346,36903,39836,39303,46200,45343,67463,70484,47816,69201,64574,64211
"RIKS2 Östra mellansverige","G45-T98 tjänsteproducenter",33123,33653,33754,37496,38124,47817,47268,56419,57332,42204,52805,56058,50755,51128,61463,71763,83416,88436,91840,89426,94472,93226,119258,103282,93162
"RIKS2 Östra mellansverige","ej branschfördelade poster",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"RIKS2 Östra mellansverige","offentliga myndigheter samt hushållens icke-vinstdrivande organisationer",16003,18016,19775,20247,22709,21827,25194,28721,31568,32334,34540,32829,34603,27837,30553,31229,31226,36925,38525,39061,41164,40818,44548,51853,53955
"RIKS3 Småland med öarna","hela ekonomin, totalt",42300,44527,44068,44731,47387,50175,57127,54769,60391,52386,53797,53850,49988,54718,55241,59551,64222,70014,74984,77810,83343,79414,94374,102378,101445
"RIKS3 Småland med öarna","A01-F43 varuproducenter",20523,21106,20768,20088,19187,22077,22693,19075,21434,17708,17051,20417,18652,19229,19374,22837,22617,23750,25188,28093,28848,25523,29867,38230,36861
"RIKS3 Småland med öarna","G45-T98 tjänsteproducenter",16125,17304,16857,18352,22039,22297,27283,28798,30608,26377,28167,25655,23834,25301,26680,27569,31989,35528,36951,36687,39250,39840,48164,46693,42220
"RIKS3 Småland med öarna","ej branschfördelade poster",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"RIKS3 Småland med öarna","offentliga myndigheter samt hushållens icke-vinstdrivande organisationer",5652,6117,6443,6291,6161,5801,7151,6896,8349,8301,8579,7778,7502,10188,9187,9145,9616,10736,12845,13030,15245,14051,16343,17455,22364
"RIKS4 Sydsverige","hela ekonomin, totalt",66923,79506,75445,77394,81359,84195,94021,113340,110075,101468,108934,106508,105025,102883,111157,116149,130238,146414,159121,153938,150054,172109,175295,192766,197901
"RIKS4 Sydsverige","A01-F43 varuproducenter",24258,29039,25374,24691,24552,24035,25599,29106,30999,26234,33531,22168,24576,23612,24003,27379,29443,33228,38446,32672,30534,36847,39750,44693,47457
"RIKS4 Sydsverige","G45-T98 tjänsteproducenter",29949,37518,36333,37970,43149,45417,50772,66337,62087,56919,51617,59666,53603,51150,59564,61056,72667,82673,85837,85874,82709,95735,95540,102021,104630
"RIKS4 Sydsverige","ej branschfördelade poster",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"RIKS4 Sydsverige","offentliga myndigheter samt hushållens icke-vinstdrivande organisationer",12716,12949,13738,14733,13658,14743,17650,17897,16989,18315,23786,24674,26846,28121,27590,27714,28128,30513,34838,35392,36811,39527,40005,46052,45814
