"region","näringsgren SNI 2007","BRP, löpande priser, mnkr 2000","BRP, löpande priser, mnkr 2001","BRP, löpande priser, mnkr 2002","BRP, löpande priser, mnkr 2003","BRP, löpande priser, mnkr 2004","BRP, löpande priser, mnkr 2005","BRP, löpande priser, mnkr 2006","BRP, löpande priser, mnkr 2007","BRP, löpande priser, mnkr 2008","BRP, löpande priser, mnkr 2009","BRP, löpande priser, mnkr 2010","BRP, löpande priser, mnkr 2011","BRP, löpande priser, mnkr 2012","BRP, löpande priser, mnkr 2013","BRP, löpande priser, mnkr 2014","BRP, löpande priser, mnkr 2015","BRP, löpande priser, mnkr 2016","BRP, löpande priser, mnkr 2017","BRP, löpande priser, mnkr 2018","BRP, löpande priser, mnkr 2019","BRP, löpande priser, mnkr 2020","BRP, löpande priser, mnkr 2021","BRP, löpande priser, mnkr 2022","BRP, löpande priser, mnkr 2023","BRP, löpande priser, mnkr 2024","Medelantal sysselsatta, personer i 1000-tal 2000","Medelantal sysselsatta, personer i 1000-tal 2001","Medelantal sysselsatta, personer i 1000-tal 2002","Medelantal sysselsatta, personer i 1000-tal 2003","Medelantal sysselsatta, personer i 1000-tal 2004","Medelantal sysselsatta, personer i 1000-tal 2005","Medelantal sysselsatta, personer i 1000-tal 2006","Medelantal sysselsatta, personer i 1000-tal 2007","Medelantal sysselsatta, personer i 1000-tal 2008","Medelantal sysselsatta, personer i 1000-tal 2009","Medelantal sysselsatta, personer i 1000-tal 2010","Medelantal sysselsatta, personer i 1000-tal 2011","Medelantal sysselsatta, personer i 1000-tal 2012","Medelantal sysselsatta, personer i 1000-tal 2013","Medelantal sysselsatta, personer i 1000-tal 2014","Medelantal sysselsatta, personer i 1000-tal 2015","Medelantal sysselsatta, personer i 1000-tal 2016","Medelantal sysselsatta, personer i 1000-tal 2017","Medelantal sysselsatta, personer i 1000-tal 2018","Medelantal sysselsatta, personer i 1000-tal 2019","Medelantal sysselsatta, personer i 1000-tal 2020","Medelantal sysselsatta, personer i 1000-tal 2021","Medelantal sysselsatta, personer i 1000-tal 2022","Medelantal sysselsatta, personer i 1000-tal 2023","Medelantal sysselsatta, personer i 1000-tal 2024","Egentlig lön, löpande priser, mnkr 2000","Egentlig lön, löpande priser, mnkr 2001","Egentlig lön, löpande priser, mnkr 2002","Egentlig lön, löpande priser, mnkr 2003","Egentlig lön, löpande priser, mnkr 2004","Egentlig lön, löpande priser, mnkr 2005","Egentlig lön, löpande priser, mnkr 2006","Egentlig lön, löpande priser, mnkr 2007","Egentlig lön, löpande priser, mnkr 2008","Egentlig lön, löpande priser, mnkr 2009","Egentlig lön, löpande priser, mnkr 2010","Egentlig lön, löpande priser, mnkr 2011","Egentlig lön, löpande priser, mnkr 2012","Egentlig lön, löpande priser, mnkr 2013","Egentlig lön, löpande priser, mnkr 2014","Egentlig lön, löpande priser, mnkr 2015","Egentlig lön, löpande priser, mnkr 2016","Egentlig lön, löpande priser, mnkr 2017","Egentlig lön, löpande priser, mnkr 2018","Egentlig lön, löpande priser, mnkr 2019","Egentlig lön, löpande priser, mnkr 2020","Egentlig lön, löpande priser, mnkr 2021","Egentlig lön, löpande priser, mnkr 2022","Egentlig lön, löpande priser, mnkr 2023","Egentlig lön, löpande priser, mnkr 2024"
"00 Riket","hela ekonomin, totalt",2408775,2504784,2603427,2701410,2825986,2927127,3117499,3312135,3391873,3324135,3551514,3704817,3724495,3804976,3963666,4230936,4392801,4575114,4777837,5021382,5012855,5417760,5816415,6143187,6443039,4347.5,4437.5,4442.6,4421.6,4402.6,4400.8,4484.7,4588.0,4611.1,4517.4,4547.6,4652.2,4688.2,4736.0,4805.3,4877.7,4975.1,5099.9,5186.1,5219.4,5152.7,5217.9,5400.1,5466.0,5441.0,937381,992264,1024287,1049407,1076305,1116208,1179294,1262194,1336644,1336489,1379160,1458076,1513292,1555728,1615796,1684065,1766917,1856262,1947118,2021641,2036881,2162705,2307468,2426288,2511277
"00 Riket","A01-F43 varuproducenter",669179,688029,708255,718656,746737,753413,813041,876404,861600,780199,895596,931466,907083,883237,906005,997443,1022860,1075338,1123849,1186644,1153591,1285895,1453846,1466233,1459268,1123.3,1140.4,1125.2,1089.0,1065.2,1053.9,1064.9,1098.6,1110.5,1049.9,1047.8,1082.4,1080.6,1072.6,1073.3,1070.3,1063.1,1104.2,1130.4,1133.1,1126.2,1140.9,1171.6,1181.5,1157.3,267527,284319,289577,286613,291462,299851,314959,337360,358928,340786,347577,367962,376480,379643,390541,398545,414376,435251,458374,474692,477249,510635,534551,558877,574716
"00 Riket","G45-T98 tjänsteproducenter",1015883,1056971,1095649,1141750,1210356,1266943,1356311,1438552,1492990,1495170,1566694,1658341,1677310,1747480,1842960,1955268,2017976,2083729,2169009,2300521,2310031,2483342,2616896,2831570,3054801,1808.1,1866.4,1866.2,1868.5,1865.9,1880.3,1931.5,2007.2,2049.5,2042.5,2081.5,2147.1,2171.6,2208.2,2256.4,2298.2,2361.5,2415.5,2460.5,2480.0,2425.6,2459.4,2586.4,2623.9,2609.8,397593,423778,434307,447514,459477,482216,514256,561181,600174,610020,636968,683232,714121,737640,770199,811020,853995,896931,941801,983614,982678,1051579,1150316,1213110,1255630
"00 Riket","ej branschfördelade poster",267487,279238,293791,305219,314944,336304,353562,375552,390537,393496,420339,424440,422377,432253,444882,474877,507423,528105,553190,568764,568344,615684,658222,655219,667024,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"00 Riket","offentliga myndigheter samt hushållens icke-vinstdrivande organisationer",456226,480546,505732,535785,553949,570467,594585,621627,646746,655270,668885,690570,717725,742006,769819,803348,844542,887942,931789,965453,980889,1032839,1087451,1190165,1261946,1416.1,1430.7,1451.2,1464.1,1471.5,1466.6,1488.3,1482.2,1451.1,1425.0,1418.3,1422.7,1436.0,1455.2,1475.6,1509.2,1550.5,1580.2,1595.2,1606.3,1600.9,1617.6,1642.1,1660.6,1673.9,272261,284167,300403,315280,325366,334141,350079,363653,377542,385683,394615,406882,422691,438445,455056,474500,498546,524080,546943,563335,576954,600491,622601,654301,680931
"18 Örebro län","hela ekonomin, totalt",62333,62937,67086,70731,74586,75645,82650,86396,86041,82824,90153,94836,98254,96158,99414,105096,112188,118422,122793,127454,129179,137676,146193,156834,162546,126.1,129.7,130.4,128.4,125.9,125.4,126.9,131.4,131.9,128.5,129.2,131.5,132.5,133.4,135.4,139.2,140.5,144.5,147.5,150.6,149.3,151.3,154.0,154.6,153.7,26645,27499,28572,29056,29724,30520,31954,34136,36374,36233,37209,39288,40656,41556,43306,45378,47293,50168,52612,54293,54991,58178,59973,62796,65088
"18 Örebro län","A01-F43 varuproducenter",20904,19613,20578,21625,23127,22569,25505,27775,26155,22768,27321,29870,31486,28225,27830,29764,31500,34895,35932,37392,36498,40204,45514,47417,47516,39.3,37.7,36.6,35.2,33.7,32.8,32.8,34.3,35.3,33.4,33.0,34.5,34.9,34.7,33.6,34.0,34.2,35.5,36.2,35.6,35.9,37.0,37.7,37.3,37.0,9898,9775,9496,9482,9602,9871,10304,10846,11664,10971,11021,11897,12330,12244,12495,12769,13539,14362,15123,15455,15299,16400,16940,17844,18531
"18 Örebro län","G45-T98 tjänsteproducenter",21639,22304,23588,24481,25577,26873,28431,29068,31033,31254,32859,34259,34752,35695,38266,40364,42932,44351,45876,47889,49093,51420,52389,57742,60952,40.8,44.2,44.2,44.1,43.9,44.3,45.1,47.8,47.9,46.8,47.7,49.0,48.8,49.7,50.8,51.9,52.6,53.1,54.8,55.7,54.6,54.9,59.9,59.3,58.5,8082,8620,9204,9345,9678,10154,10717,11829,12587,12628,13186,14144,14562,14859,15601,16311,16987,17834,18709,19410,19268,20322,22715,23440,24119
"18 Örebro län","ej branschfördelade poster",6753,6708,7193,7564,7838,8230,8791,9222,9485,9342,10273,10510,10825,10502,10698,11277,12421,13248,13745,13909,14045,14967,15831,16032,16028,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"18 Örebro län","offentliga myndigheter samt hushållens icke-vinstdrivande organisationer",13037,14312,15727,17061,18044,17973,19923,20331,19368,19460,19700,20197,21191,21736,22620,23691,25335,25928,27240,28264,29543,31085,32459,35643,38050,46.0,47.8,49.6,49.1,48.3,48.3,49.0,49.3,48.7,48.3,48.5,48.0,48.8,49.0,51.0,53.3,53.7,55.9,56.5,59.3,58.8,59.4,56.4,58.0,58.2,8665,9104,9872,10229,10444,10495,10933,11461,12123,12634,13002,13247,13764,14453,15210,16298,16767,17972,18780,19428,20424,21456,20318,21512,22438
