"region","näringsgren SNI 2007","BRP, löpande priser, mnkr 2000","BRP, löpande priser, mnkr 2001","BRP, löpande priser, mnkr 2002","BRP, löpande priser, mnkr 2003","BRP, löpande priser, mnkr 2004","BRP, löpande priser, mnkr 2005","BRP, löpande priser, mnkr 2006","BRP, löpande priser, mnkr 2007","BRP, löpande priser, mnkr 2008","BRP, löpande priser, mnkr 2009","BRP, löpande priser, mnkr 2010","BRP, löpande priser, mnkr 2011","BRP, löpande priser, mnkr 2012","BRP, löpande priser, mnkr 2013","BRP, löpande priser, mnkr 2014","BRP, löpande priser, mnkr 2015","BRP, löpande priser, mnkr 2016","BRP, löpande priser, mnkr 2017","BRP, löpande priser, mnkr 2018","BRP, löpande priser, mnkr 2019","BRP, löpande priser, mnkr 2020","BRP, löpande priser, mnkr 2021","BRP, löpande priser, mnkr 2022","BRP, löpande priser, mnkr 2023","BRP, löpande priser, mnkr 2024","Medelantal sysselsatta, personer i 1000-tal 2000","Medelantal sysselsatta, personer i 1000-tal 2001","Medelantal sysselsatta, personer i 1000-tal 2002","Medelantal sysselsatta, personer i 1000-tal 2003","Medelantal sysselsatta, personer i 1000-tal 2004","Medelantal sysselsatta, personer i 1000-tal 2005","Medelantal sysselsatta, personer i 1000-tal 2006","Medelantal sysselsatta, personer i 1000-tal 2007","Medelantal sysselsatta, personer i 1000-tal 2008","Medelantal sysselsatta, personer i 1000-tal 2009","Medelantal sysselsatta, personer i 1000-tal 2010","Medelantal sysselsatta, personer i 1000-tal 2011","Medelantal sysselsatta, personer i 1000-tal 2012","Medelantal sysselsatta, personer i 1000-tal 2013","Medelantal sysselsatta, personer i 1000-tal 2014","Medelantal sysselsatta, personer i 1000-tal 2015","Medelantal sysselsatta, personer i 1000-tal 2016","Medelantal sysselsatta, personer i 1000-tal 2017","Medelantal sysselsatta, personer i 1000-tal 2018","Medelantal sysselsatta, personer i 1000-tal 2019","Medelantal sysselsatta, personer i 1000-tal 2020","Medelantal sysselsatta, personer i 1000-tal 2021","Medelantal sysselsatta, personer i 1000-tal 2022","Medelantal sysselsatta, personer i 1000-tal 2023","Medelantal sysselsatta, personer i 1000-tal 2024","Egentlig lön, löpande priser, mnkr 2000","Egentlig lön, löpande priser, mnkr 2001","Egentlig lön, löpande priser, mnkr 2002","Egentlig lön, löpande priser, mnkr 2003","Egentlig lön, löpande priser, mnkr 2004","Egentlig lön, löpande priser, mnkr 2005","Egentlig lön, löpande priser, mnkr 2006","Egentlig lön, löpande priser, mnkr 2007","Egentlig lön, löpande priser, mnkr 2008","Egentlig lön, löpande priser, mnkr 2009","Egentlig lön, löpande priser, mnkr 2010","Egentlig lön, löpande priser, mnkr 2011","Egentlig lön, löpande priser, mnkr 2012","Egentlig lön, löpande priser, mnkr 2013","Egentlig lön, löpande priser, mnkr 2014","Egentlig lön, löpande priser, mnkr 2015","Egentlig lön, löpande priser, mnkr 2016","Egentlig lön, löpande priser, mnkr 2017","Egentlig lön, löpande priser, mnkr 2018","Egentlig lön, löpande priser, mnkr 2019","Egentlig lön, löpande priser, mnkr 2020","Egentlig lön, löpande priser, mnkr 2021","Egentlig lön, löpande priser, mnkr 2022","Egentlig lön, löpande priser, mnkr 2023","Egentlig lön, löpande priser, mnkr 2024"
"00 Riket","F41-F43 byggverksamhet",87600,97874,104901,110526,122193,125488,143625,162413,160298,165536,172433,186105,192002,193024,206321,230380,244682,262228,277985,291133,296169,317948,346985,354193,350794,219.7,233.2,235.9,232.9,235.4,241.8,255.8,276.3,292.9,293.1,297.9,312.0,316.8,318.7,324.6,332.8,338.2,362.9,375.3,375.9,373.7,381.1,394.5,395.0,377.9,57030,64531,66820,65980,67644,72203,78857,88352,98271,97000,102021,110119,115598,119146,125067,132171,141883,150918,162352,169655,172806,183020,200005,206095,206532
"RIKS1 Stockholms län","F41-F43 byggverksamhet",19079,22251,24411,25308,27191,27280,31238,42969,41942,43708,45367,49115,51961,52880,56910,64107,67350,71553,74072,78031,79728,83055,89311,90487,86107,43.8,47.7,50.1,49.9,48.8,53.4,55.6,65.2,66.0,66.9,66.6,69.7,71.8,72.8,75.3,78.9,81.5,88.0,90.0,90.3,86.3,87.8,93.3,91.3,88.2,11552,13795,14937,14626,14789,15350,16919,19094,22361,22037,22989,24818,26658,28090,29762,32129,34954,37640,40518,41690,42570,45126,49579,50020,50031
"RIKS2 Östra mellansverige","F41-F43 byggverksamhet",14921,16588,17730,18900,20779,20838,23859,25820,25296,25106,25846,28551,29432,29218,30816,34638,37477,40682,43062,43927,44765,48269,52631,56159,54814,39.8,43.0,44.0,41.2,42.8,41.5,44.3,46.4,47.7,47.9,48.2,50.6,51.2,51.6,52.9,54.6,55.5,60.0,60.6,60.3,60.4,61.5,63.1,63.0,60.7,9764,10799,11148,11042,11332,11790,12924,14310,15990,15829,16612,18057,18850,19422,20526,21757,23390,25060,26521,27479,27545,28940,31277,32542,32623
"RIKS3 Småland med öarna","F41-F43 byggverksamhet",6822,7487,8158,8770,9790,10080,11637,11790,11838,11632,12423,13611,13715,13831,14542,16172,17017,18338,19508,20815,20818,22308,24329,25264,24985,20.7,20.5,20.0,20.0,19.8,20.1,21.2,21.7,23.1,23.5,23.7,25.0,25.3,25.2,25.5,25.5,25.5,26.8,28.3,28.4,28.8,29.0,29.6,30.0,28.7,4772,5180,5316,5356,5484,5923,6406,7077,7580,7692,8066,8633,8913,9010,9376,9731,10337,10734,11617,12249,12520,12978,14088,14578,14802
"RIKS4 Sydsverige","F41-F43 byggverksamhet",12233,13520,14454,15257,16817,17928,20692,22656,22517,25928,26649,26622,27292,26787,28217,31673,33328,35883,38863,40776,40771,43337,46867,45695,44182,32.6,34.4,34.9,33.7,34.0,36.1,38.4,41.1,42.9,41.1,42.6,44.8,44.5,44.5,44.6,45.4,46.4,49.6,51.9,52.6,52.9,54.4,56.4,56.4,51.8,8086,8926,9279,9155,9398,10408,11453,12939,14127,13588,14253,15534,15996,16254,16923,17747,19155,20306,22010,23503,24112,25754,28368,28948,27966
"RIKS5 Västsverige","F41-F43 byggverksamhet",16465,18315,19816,21154,23817,24695,27835,30904,30750,31272,32140,35191,35675,36020,39651,43824,48282,52522,55674,58490,59102,64787,71337,71933,70651,42.6,45.2,46.3,45.3,46.7,47.7,48.1,52.1,58.0,58.0,59.3,61.9,63.0,63.4,64.8,66.2,67.6,72.6,75.6,76.2,75.6,77.6,80.8,80.9,77.3,11036,12648,13231,13241,13653,14746,15793,17639,19172,18956,19907,21411,22695,23262,24613,26181,28145,29956,32315,34228,35043,37103,40558,42152,41953
"RIKS6 Norra mellansverige","F41-F43 byggverksamhet",8744,9501,9547,10052,11184,11468,12885,12995,12896,13000,13706,14896,15188,15760,16474,18215,19270,20271,21782,22731,23406,25561,28100,29228,31423,17.0,18.8,16.7,19.1,18.6,17.9,21.0,22.8,26.4,26.3,27.5,28.4,28.7,28.8,29.2,29.6,29.3,31.6,33.1,32.5,33.4,34.1,33.6,35.1,33.6,5561,6078,5912,5785,6035,6437,6924,7769,8751,8552,9179,9807,10058,10319,10700,11123,11863,12699,13743,14198,14356,15265,16584,17425,17828
"RIKS7 Mellersta Norrland","F41-F43 byggverksamhet",3794,4264,4465,4514,5243,5471,6276,6442,6175,5975,6473,6968,6502,6837,7342,7994,8109,8648,9552,9941,9987,11233,12158,11648,12776,10.6,9.8,10.3,10.5,10.8,11.6,12.2,11.9,12.6,12.5,12.8,12.9,13.0,13.1,13.0,13.0,13.1,13.9,14.4,14.0,13.7,14.3,14.7,14.7,14.1,2466,2774,2818,2673,2903,3136,3433,3885,4126,4124,4213,4430,4569,4734,4807,4835,5134,5370,5793,5994,5946,6317,6999,7220,7302
"RIKS8 Övre Norrland","F41-F43 byggverksamhet",5542,5948,6320,6571,7372,7728,9203,8837,8884,8915,9829,11151,12237,11691,12369,13757,13849,14331,15472,16422,17592,19398,22252,23779,25856,12.6,13.8,13.6,13.2,13.9,13.5,15.0,15.1,16.2,16.9,17.2,18.7,19.3,19.3,19.3,19.6,19.3,20.4,21.4,21.6,22.6,22.4,23.0,23.6,23.5,3793,4331,4179,4102,4050,4413,5005,5639,6164,6222,6802,7429,7859,8055,8360,8668,8905,9153,9835,10314,10714,11537,12552,13210,14027
"90 Extra region","F41-F43 byggverksamhet",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
