"region","näringsgren SNI 2007","kön","Antal 2008","Antal 2009","Antal 2010","Antal 2011","Antal 2012","Antal 2013","Antal 2014","Antal 2015","Antal 2016","Antal 2017","Antal 2018"
"00 Riket","A jordbruk, skogsbruk och fiske","män",59348,60672,63369,77312,76712,76751,76283,75121,72349,72720,70139
"00 Riket","A jordbruk, skogsbruk och fiske","kvinnor",14959,15526,16632,22952,23418,24156,24281,24191,22423,23831,22539
"00 Riket","B+C tillverkning och utvinning","män",504905,452748,453026,459732,449212,436776,430015,427386,418060,420334,425271
"00 Riket","B+C tillverkning och utvinning","kvinnor",160018,142463,142087,143337,140923,136569,134320,133089,130713,131019,133996
"00 Riket","D+E energiförsörjning; miljöverksamhet","män",34306,34464,34771,35195,36100,36447,37170,37615,37643,38202,38665
"00 Riket","D+E energiförsörjning; miljöverksamhet","kvinnor",10100,10311,10343,10586,11111,11141,11514,11696,11971,12188,12609
"00 Riket","F byggverksamhet","män",270627,265795,276407,288364,290823,291344,294733,303933,312829,321710,328787
"00 Riket","F byggverksamhet","kvinnor",23010,22737,24240,25758,27110,26958,27713,29146,30832,32733,34730
"00 Riket","G handel","män",299711,290115,298333,305222,307640,309797,312295,314650,318924,323536,326332
"00 Riket","G handel","kvinnor",246728,239503,248100,249145,253536,254541,254659,258212,262760,263993,265307
"00 Riket","H transport och magasinering","män",174967,169227,172926,175838,176182,177402,176158,176388,177926,180437,183566
"00 Riket","H transport och magasinering","kvinnor",52354,49360,49721,50326,49799,49537,48748,48275,48389,49042,50354
"00 Riket","I hotell- och restaurangverksamhet","män",57937,58814,63225,65716,70165,74177,76106,78728,81012,83794,84778
"00 Riket","I hotell- och restaurangverksamhet","kvinnor",70456,71002,75815,74982,79986,83165,83804,85278,86631,85405,84135
"00 Riket","J information och kommunikation","män",115254,113902,114459,118603,120849,123395,125448,126355,140459,144783,149621
"00 Riket","J information och kommunikation","kvinnor",53609,52018,51652,52588,52845,52618,52641,52639,56996,58115,60030
"00 Riket","K finans- och försäkringsverksamhet","män",42216,41582,42381,42985,43282,43883,44554,45283,46130,47173,47861
"00 Riket","K finans- och försäkringsverksamhet","kvinnor",48919,47305,47408,47083,47066,47145,47136,47317,47404,47916,48277
"00 Riket","L fastighetsverksamhet","män",41321,41905,41963,43276,43944,45957,45973,47199,48119,48602,49204
"00 Riket","L fastighetsverksamhet","kvinnor",24629,24607,25230,25880,26605,27881,28352,29622,30543,31528,32325
"00 Riket","M+N företagstjänster","män",262969,255188,268362,285067,292077,297310,302218,313744,321897,336343,343833
"00 Riket","M+N företagstjänster","kvinnor",207848,202508,211591,219461,227906,228820,231382,239578,246566,255321,261257
"00 Riket","O offentlig förvaltning och försvar","män",105658,105551,107572,110983,111920,115501,116286,116586,120045,123653,128121
"00 Riket","O offentlig förvaltning och försvar","kvinnor",133897,134859,138553,141299,144470,148744,151498,155161,162257,169434,177024
"00 Riket","P utbildning ","män",111782,111494,117596,118546,121340,124178,126342,129398,136463,139924,141239
"00 Riket","P utbildning ","kvinnor",338973,333986,343899,348300,352892,357186,361699,369359,384600,394770,399479
"00 Riket","Q vård och omsorg; sociala tjänster","män",118224,119957,123326,126046,130752,137006,143040,152292,163997,165888,165643
"00 Riket","Q vård och omsorg; sociala tjänster","kvinnor",586665,580225,591271,593109,603937,611986,621031,634257,648048,646250,640986
"00 Riket","R+S+T+U kulturella och personliga tjänster m.m.","män",79005,80128,81070,83176,85982,87938,88106,88350,89491,89913,90237
"00 Riket","R+S+T+U kulturella och personliga tjänster m.m.","kvinnor",105720,106896,109801,112192,115984,118978,120081,121430,122775,123505,124403
"00 Riket","00 okänd verksamhet","män",22174,20180,19969,21536,21959,21631,22239,21757,20084,21751,21249
"00 Riket","00 okänd verksamhet","kvinnor",28500,25715,27622,31005,30973,31286,31489,31310,29989,31080,29922
"01 Stockholms län","A jordbruk, skogsbruk och fiske","män",2070,2100,2318,2760,2667,2723,2740,2723,2516,2607,2491
"01 Stockholms län","A jordbruk, skogsbruk och fiske","kvinnor",1004,1043,1158,1505,1502,1636,1633,1630,1539,1673,1575
"01 Stockholms län","B+C tillverkning och utvinning","män",55870,53160,53077,54275,53232,51551,50862,50829,44166,44659,46062
"01 Stockholms län","B+C tillverkning och utvinning","kvinnor",22861,21613,21337,21653,21470,20779,20345,20505,18633,18770,19515
"01 Stockholms län","D+E energiförsörjning; miljöverksamhet","män",5548,5674,5762,5980,6259,6484,6739,6835,6932,7127,7171
"01 Stockholms län","D+E energiförsörjning; miljöverksamhet","kvinnor",2105,2192,2258,2319,2502,2500,2546,2606,2647,2656,2738
"01 Stockholms län","F byggverksamhet","män",57080,56488,58692,61411,63516,64328,65787,68794,70800,72672,73605
"01 Stockholms län","F byggverksamhet","kvinnor",6097,6204,6643,7057,7513,7676,8032,8629,9068,9749,10268
"01 Stockholms län","G handel","män",80892,78098,80000,81802,83517,84386,85795,85901,87086,89176,88869
"01 Stockholms län","G handel","kvinnor",65530,64038,67032,67733,69364,69858,70719,73150,75535,76542,76885
"01 Stockholms län","H transport och magasinering","män",44495,43549,44808,45455,45845,46511,47183,47051,47558,48075,49251
"01 Stockholms län","H transport och magasinering","kvinnor",15126,14275,14305,14275,13976,14006,14148,13828,14036,14137,14574
"01 Stockholms län","I hotell- och restaurangverksamhet","män",19798,20355,21919,23219,24834,26394,27001,27824,28628,29237,29387
"01 Stockholms län","I hotell- och restaurangverksamhet","kvinnor",18704,18811,20439,20395,21897,23132,23714,24367,24865,24608,24371
"01 Stockholms län","J information och kommunikation","män",54531,53503,54737,56546,57066,58491,59704,60491,69332,70470,72226
"01 Stockholms län","J information och kommunikation","kvinnor",26897,26335,26378,26766,26880,27036,27522,27990,31014,31569,32709
"01 Stockholms län","K finans- och försäkringsverksamhet","män",24041,23580,24292,24980,25223,25598,26144,26774,27541,28579,29427
"01 Stockholms län","K finans- och försäkringsverksamhet","kvinnor",24873,24176,24442,24574,24693,24802,24899,25140,25292,25905,26293
"01 Stockholms län","L fastighetsverksamhet","män",9957,9779,9800,10137,10409,10850,10914,11314,11632,11800,12027
