"region","näringsgren SNI 2007","kön","Antal 2008","Antal 2009","Antal 2010","Antal 2011","Antal 2012","Antal 2013","Antal 2014","Antal 2015","Antal 2016","Antal 2017","Antal 2018"
"00 Riket","A jordbruk, skogsbruk och fiske","män",59348,60672,63369,77312,76712,76751,76283,75121,72349,72720,70139
"00 Riket","A jordbruk, skogsbruk och fiske","kvinnor",14959,15526,16632,22952,23418,24156,24281,24191,22423,23831,22539
"00 Riket","B+C tillverkning och utvinning","män",504905,452748,453026,459732,449212,436776,430015,427386,418060,420334,425271
"00 Riket","B+C tillverkning och utvinning","kvinnor",160018,142463,142087,143337,140923,136569,134320,133089,130713,131019,133996
"00 Riket","D+E energiförsörjning; miljöverksamhet","män",34306,34464,34771,35195,36100,36447,37170,37615,37643,38202,38665
"00 Riket","D+E energiförsörjning; miljöverksamhet","kvinnor",10100,10311,10343,10586,11111,11141,11514,11696,11971,12188,12609
"00 Riket","F byggverksamhet","män",270627,265795,276407,288364,290823,291344,294733,303933,312829,321710,328787
"00 Riket","F byggverksamhet","kvinnor",23010,22737,24240,25758,27110,26958,27713,29146,30832,32733,34730
"00 Riket","G handel","män",299711,290115,298333,305222,307640,309797,312295,314650,318924,323536,326332
"00 Riket","G handel","kvinnor",246728,239503,248100,249145,253536,254541,254659,258212,262760,263993,265307
"00 Riket","H transport och magasinering","män",174967,169227,172926,175838,176182,177402,176158,176388,177926,180437,183566
"00 Riket","H transport och magasinering","kvinnor",52354,49360,49721,50326,49799,49537,48748,48275,48389,49042,50354
"00 Riket","I hotell- och restaurangverksamhet","män",57937,58814,63225,65716,70165,74177,76106,78728,81012,83794,84778
"00 Riket","I hotell- och restaurangverksamhet","kvinnor",70456,71002,75815,74982,79986,83165,83804,85278,86631,85405,84135
"00 Riket","J information och kommunikation","män",115254,113902,114459,118603,120849,123395,125448,126355,140459,144783,149621
"00 Riket","J information och kommunikation","kvinnor",53609,52018,51652,52588,52845,52618,52641,52639,56996,58115,60030
"00 Riket","K finans- och försäkringsverksamhet","män",42216,41582,42381,42985,43282,43883,44554,45283,46130,47173,47861
"00 Riket","K finans- och försäkringsverksamhet","kvinnor",48919,47305,47408,47083,47066,47145,47136,47317,47404,47916,48277
"00 Riket","L fastighetsverksamhet","män",41321,41905,41963,43276,43944,45957,45973,47199,48119,48602,49204
"00 Riket","L fastighetsverksamhet","kvinnor",24629,24607,25230,25880,26605,27881,28352,29622,30543,31528,32325
"00 Riket","M+N företagstjänster","män",262969,255188,268362,285067,292077,297310,302218,313744,321897,336343,343833
"00 Riket","M+N företagstjänster","kvinnor",207848,202508,211591,219461,227906,228820,231382,239578,246566,255321,261257
"00 Riket","O offentlig förvaltning och försvar","män",105658,105551,107572,110983,111920,115501,116286,116586,120045,123653,128121
"00 Riket","O offentlig förvaltning och försvar","kvinnor",133897,134859,138553,141299,144470,148744,151498,155161,162257,169434,177024
"00 Riket","P utbildning ","män",111782,111494,117596,118546,121340,124178,126342,129398,136463,139924,141239
"00 Riket","P utbildning ","kvinnor",338973,333986,343899,348300,352892,357186,361699,369359,384600,394770,399479
"00 Riket","Q vård och omsorg; sociala tjänster","män",118224,119957,123326,126046,130752,137006,143040,152292,163997,165888,165643
"00 Riket","Q vård och omsorg; sociala tjänster","kvinnor",586665,580225,591271,593109,603937,611986,621031,634257,648048,646250,640986
"00 Riket","R+S+T+U kulturella och personliga tjänster m.m.","män",79005,80128,81070,83176,85982,87938,88106,88350,89491,89913,90237
"00 Riket","R+S+T+U kulturella och personliga tjänster m.m.","kvinnor",105720,106896,109801,112192,115984,118978,120081,121430,122775,123505,124403
"00 Riket","00 okänd verksamhet","män",22174,20180,19969,21536,21959,21631,22239,21757,20084,21751,21249
"00 Riket","00 okänd verksamhet","kvinnor",28500,25715,27622,31005,30973,31286,31489,31310,29989,31080,29922
"18 Örebro län","A jordbruk, skogsbruk och fiske","män",1961,1938,2023,2463,2446,2469,2439,2374,2307,2262,2195
"18 Örebro län","A jordbruk, skogsbruk och fiske","kvinnor",432,416,458,637,664,686,688,668,620,644,662
"18 Örebro län","B+C tillverkning och utvinning","män",18415,16070,16109,16766,16611,16054,15509,15335,15535,15567,15940
"18 Örebro län","B+C tillverkning och utvinning","kvinnor",5347,4684,4681,4915,4949,4654,4514,4382,4410,4523,4703
"18 Örebro län","D+E energiförsörjning; miljöverksamhet","män",992,944,947,929,949,937,984,974,952,933,954
"18 Örebro län","D+E energiförsörjning; miljöverksamhet","kvinnor",251,225,242,248,236,231,248,270,287,268,290
"18 Örebro län","F byggverksamhet","män",8005,7945,8168,8519,8376,8334,8572,8814,9331,9802,9989
"18 Örebro län","F byggverksamhet","kvinnor",631,604,623,683,657,646,685,714,764,912,980
"18 Örebro län","G handel","män",8840,8391,8879,9018,8902,9029,9043,8976,9120,9184,9298
"18 Örebro län","G handel","kvinnor",6525,6236,6396,6514,6488,6575,6464,6423,6513,6577,6462
"18 Örebro län","H transport och magasinering","män",4973,4843,4922,4937,5110,5201,5171,5276,5342,5444,5460
"18 Örebro län","H transport och magasinering","kvinnor",1303,1256,1254,1282,1279,1372,1407,1470,1434,1431,1507
"18 Örebro län","I hotell- och restaurangverksamhet","män",1271,1271,1396,1465,1549,1636,1651,1774,1865,1944,1929
"18 Örebro län","I hotell- och restaurangverksamhet","kvinnor",1786,1801,1934,1950,2086,2143,2116,2184,2224,2188,2095
"18 Örebro län","J information och kommunikation","män",1753,1737,1709,1792,1881,1885,2069,2080,2079,2251,2274
"18 Örebro län","J information och kommunikation","kvinnor",728,667,644,640,714,719,738,716,779,752,799
"18 Örebro län","K finans- och försäkringsverksamhet","män",548,545,525,507,521,535,577,587,562,504,481
"18 Örebro län","K finans- och försäkringsverksamhet","kvinnor",644,618,606,594,614,606,616,608,579,522,511
"18 Örebro län","L fastighetsverksamhet","män",1271,1293,1331,1377,1301,1326,1357,1389,1435,1432,1481
"18 Örebro län","L fastighetsverksamhet","kvinnor",652,674,715,726,717,754,766,811,867,888,932
"18 Örebro län","M+N företagstjänster","män",5925,5490,5992,6335,6361,6223,6387,6647,6627,7089,7480
