"region","näringsgren SNI 2007","kön","Antal 2019","Antal 2020","Antal 2021"
"00 Riket","A jordbruk, skogsbruk och fiske","män",73520,73224,71554
"00 Riket","A jordbruk, skogsbruk och fiske","kvinnor",24165,25233,25062
"00 Riket","B+C tillverkning och utvinning","män",414160,405456,411536
"00 Riket","B+C tillverkning och utvinning","kvinnor",133619,131585,136752
"00 Riket","D+E energiförsörjning; miljöverksamhet","män",38541,40016,40857
"00 Riket","D+E energiförsörjning; miljöverksamhet","kvinnor",13213,13692,14338
"00 Riket","F byggverksamhet","män",326968,326975,334485
"00 Riket","F byggverksamhet","kvinnor",35935,36768,38622
"00 Riket","G handel","män",326167,323056,327987
"00 Riket","G handel","kvinnor",268188,262100,267205
"00 Riket","H transport och magasinering","män",185216,176421,180816
"00 Riket","H transport och magasinering","kvinnor",50809,47791,49096
"00 Riket","I hotell- och restaurangverksamhet","män",90007,80504,87358
"00 Riket","I hotell- och restaurangverksamhet","kvinnor",92568,78828,89007
"00 Riket","J information och kommunikation","män",154436,155043,162209
"00 Riket","J information och kommunikation","kvinnor",63251,63517,68358
"00 Riket","K finans- och försäkringsverksamhet","män",47716,49013,50548
"00 Riket","K finans- och försäkringsverksamhet","kvinnor",48330,49187,50221
"00 Riket","L fastighetsverksamhet","män",51360,51647,51715
"00 Riket","L fastighetsverksamhet","kvinnor",34943,35040,36124
"00 Riket","M+N företagstjänster","män",345829,336280,356243
"00 Riket","M+N företagstjänster","kvinnor",269660,262024,276645
"00 Riket","O offentlig förvaltning och försvar","män",125382,129561,131717
"00 Riket","O offentlig förvaltning och försvar","kvinnor",179091,185231,190144
"00 Riket","P utbildning ","män",143286,141882,141586
"00 Riket","P utbildning ","kvinnor",409508,403036,405537
"00 Riket","Q vård och omsorg; sociala tjänster","män",169596,172449,176441
"00 Riket","Q vård och omsorg; sociala tjänster","kvinnor",645103,636775,640892
"00 Riket","R+S+T+U kulturella och personliga tjänster m.m.","män",95771,91496,94786
"00 Riket","R+S+T+U kulturella och personliga tjänster m.m.","kvinnor",135218,129188,134034
"00 Riket","00 okänd verksamhet","män",25745,26160,25399
"00 Riket","00 okänd verksamhet","kvinnor",37592,37566,36905
"18 Örebro län","A jordbruk, skogsbruk och fiske","män",2272,2237,2220
"18 Örebro län","A jordbruk, skogsbruk och fiske","kvinnor",717,732,720
"18 Örebro län","B+C tillverkning och utvinning","män",15502,15138,15514
"18 Örebro län","B+C tillverkning och utvinning","kvinnor",4626,4577,4786
"18 Örebro län","D+E energiförsörjning; miljöverksamhet","män",930,940,976
"18 Örebro län","D+E energiförsörjning; miljöverksamhet","kvinnor",319,286,306
"18 Örebro län","F byggverksamhet","män",9848,9769,10025
"18 Örebro län","F byggverksamhet","kvinnor",991,987,1065
"18 Örebro län","G handel","män",9309,9328,9600
"18 Örebro län","G handel","kvinnor",6627,6466,6740
"18 Örebro län","H transport och magasinering","män",5503,5388,5538
"18 Örebro län","H transport och magasinering","kvinnor",1526,1490,1538
"18 Örebro län","I hotell- och restaurangverksamhet","män",2117,1945,2027
"18 Örebro län","I hotell- och restaurangverksamhet","kvinnor",2346,2076,2199
"18 Örebro län","J information och kommunikation","män",2474,2414,2515
"18 Örebro län","J information och kommunikation","kvinnor",823,809,853
"18 Örebro län","K finans- och försäkringsverksamhet","män",496,506,551
"18 Örebro län","K finans- och försäkringsverksamhet","kvinnor",541,524,554
"18 Örebro län","L fastighetsverksamhet","män",1588,1648,1557
"18 Örebro län","L fastighetsverksamhet","kvinnor",1039,1024,1040
"18 Örebro län","M+N företagstjänster","män",7295,6996,7629
"18 Örebro län","M+N företagstjänster","kvinnor",5630,5509,5866
"18 Örebro län","O offentlig förvaltning och försvar","män",4222,5381,5292
"18 Örebro län","O offentlig förvaltning och försvar","kvinnor",6155,6577,6529
"18 Örebro län","P utbildning ","män",4399,4340,4295
"18 Örebro län","P utbildning ","kvinnor",12272,12043,12082
"18 Örebro län","Q vård och omsorg; sociala tjänster","män",5492,5470,5661
"18 Örebro län","Q vård och omsorg; sociala tjänster","kvinnor",21988,21524,21816
"18 Örebro län","R+S+T+U kulturella och personliga tjänster m.m.","män",2692,2488,2503
"18 Örebro län","R+S+T+U kulturella och personliga tjänster m.m.","kvinnor",3444,3231,3320
"18 Örebro län","00 okänd verksamhet","män",709,671,685
"18 Örebro län","00 okänd verksamhet","kvinnor",993,956,918
"1814 Lekeberg","A jordbruk, skogsbruk och fiske","män",171,160,161
"1814 Lekeberg","A jordbruk, skogsbruk och fiske","kvinnor",37,43,46
"1814 Lekeberg","B+C tillverkning och utvinning","män",137,125,115
"1814 Lekeberg","B+C tillverkning och utvinning","kvinnor",32,29,29
"1814 Lekeberg","D+E energiförsörjning; miljöverksamhet","män",16,17,15
"1814 Lekeberg","D+E energiförsörjning; miljöverksamhet","kvinnor",4,5,6
"1814 Lekeberg","F byggverksamhet","män",293,294,284
