"region","Skatteunderlag, kronor 1995","Skatteunderlag, kronor 1996","Skatteunderlag, kronor 1997","Skatteunderlag, kronor 1998","Skatteunderlag, kronor 1999","Skatteunderlag, kronor 2000","Skatteunderlag, kronor 2001","Skatteunderlag, kronor 2002","Skatteunderlag, kronor 2003","Skatteunderlag, kronor 2004","Skatteunderlag, kronor 2005","Skatteunderlag, kronor 2006","Skatteunderlag, kronor 2007","Skatteunderlag, kronor 2008","Skatteunderlag, kronor 2009","Skatteunderlag, kronor 2010","Skatteunderlag, kronor 2011","Skatteunderlag, kronor 2012","Skatteunderlag, kronor 2013","Skatteunderlag, kronor 2014","Skatteunderlag, kronor 2015","Skatteunderlag, kronor 2016","Skatteunderlag, kronor 2017","Skatteunderlag, kronor 2018","Skatteunderlag, kronor 2019","Skatteunderlag, kronor 2020","Skatteunderlag, kronor 2021","Skatteunderlag, kronor 2022","Skatteunderlag, kronor 2023","Skatteunderlag, kronor 2024","Skatteunderlag, kronor 2025","Skatteunderlag, kronor 2026","Skattekraft, kronor per invånare 1995","Skattekraft, kronor per invånare 1996","Skattekraft, kronor per invånare 1997","Skattekraft, kronor per invånare 1998","Skattekraft, kronor per invånare 1999","Skattekraft, kronor per invånare 2000","Skattekraft, kronor per invånare 2001","Skattekraft, kronor per invånare 2002","Skattekraft, kronor per invånare 2003","Skattekraft, kronor per invånare 2004","Skattekraft, kronor per invånare 2005","Skattekraft, kronor per invånare 2006","Skattekraft, kronor per invånare 2007","Skattekraft, kronor per invånare 2008","Skattekraft, kronor per invånare 2009","Skattekraft, kronor per invånare 2010","Skattekraft, kronor per invånare 2011","Skattekraft, kronor per invånare 2012","Skattekraft, kronor per invånare 2013","Skattekraft, kronor per invånare 2014","Skattekraft, kronor per invånare 2015","Skattekraft, kronor per invånare 2016","Skattekraft, kronor per invånare 2017","Skattekraft, kronor per invånare 2018","Skattekraft, kronor per invånare 2019","Skattekraft, kronor per invånare 2020","Skattekraft, kronor per invånare 2021","Skattekraft, kronor per invånare 2022","Skattekraft, kronor per invånare 2023","Skattekraft, kronor per invånare 2024","Skattekraft, kronor per invånare 2025","Skattekraft, kronor per invånare 2026","Andel av riksmedelvärdet, procent 1995","Andel av riksmedelvärdet, procent 1996","Andel av riksmedelvärdet, procent 1997","Andel av riksmedelvärdet, procent 1998","Andel av riksmedelvärdet, procent 1999","Andel av riksmedelvärdet, procent 2000","Andel av riksmedelvärdet, procent 2001","Andel av riksmedelvärdet, procent 2002","Andel av riksmedelvärdet, procent 2003","Andel av riksmedelvärdet, procent 2004","Andel av riksmedelvärdet, procent 2005","Andel av riksmedelvärdet, procent 2006","Andel av riksmedelvärdet, procent 2007","Andel av riksmedelvärdet, procent 2008","Andel av riksmedelvärdet, procent 2009","Andel av riksmedelvärdet, procent 2010","Andel av riksmedelvärdet, procent 2011","Andel av riksmedelvärdet, procent 2012","Andel av riksmedelvärdet, procent 2013","Andel av riksmedelvärdet, procent 2014","Andel av riksmedelvärdet, procent 2015","Andel av riksmedelvärdet, procent 2016","Andel av riksmedelvärdet, procent 2017","Andel av riksmedelvärdet, procent 2018","Andel av riksmedelvärdet, procent 2019","Andel av riksmedelvärdet, procent 2020","Andel av riksmedelvärdet, procent 2021","Andel av riksmedelvärdet, procent 2022","Andel av riksmedelvärdet, procent 2023","Andel av riksmedelvärdet, procent 2024","Andel av riksmedelvärdet, procent 2025","Andel av riksmedelvärdet, procent 2026"
"00 Riket",806825082500,846473275200,865725410100,900701003400,928388872900,972165562900,1027063346900,1103736111100,1173953810000,1235967222300,1288283075400,1328105506400,1378629993700,1437739791100,1518824212200,1601594806800,1622643386600,1657649984300,1707177533700,1775405548200,1835067301200,1893132318000,1988699923500,2087172420100,2180826931300,2261863348600,2325707376100,2374622512200,2500408236800,2645513486900,2772046619500,2868946011300,92260,96011,97960,101837,104931,109796,115903,124256,131770,138239,143531,147381,152373,157764,165397,173027,173718,176054,180028,185792,190264,194220,201878,208818,215492,221097,225194,228785,239220,251437,262711,270969,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"18 Örebro län",24556148000,25560694800,26132922600,27074757300,27754347800,28878934400,30215888200,32046223300,33720578500,35469173500,37072719400,38069081900,39352131000,40874633100,42874506100,44997448600,45487394900,46075237400,47224250000,48974945500,50363540000,51764064000,54151522700,56748479000,59280525600,61228282200,62583109100,63576531700,66569050200,70099103500,73181924000,75345684900,89123,92334,94542,98149,100865,105173,110349,117122,123457,129728,135334,138979,143558,148619,155305,162018,163106,164419,167716,172987,176470,179643,186080,192406,198324,202574,205322,208009,216984,227763,237514,244331,97,96,97,96,96,96,95,94,94,94,94,94,94,94,94,94,94,93,93,93,93,92,92,92,92,92,91,91,91,91,90,90
"1814 Lekeberg",544778700,567516800,583244700,601527200,628841900,661885100,698527800,751121800,798499000,863959300,905651500,927129900,956048400,1000906600,1065508000,1116240800,1127333100,1150611100,1182013800,1225756500,1283442300,1297330100,1351178400,1436399900,1522385000,1616493500,1680084800,1736649700,1836503900,1966401900,2083786600,2126516600,77033,79898,82683,85263,88707,93698,99761,107181,113536,122949,128644,131303,135016,141052,150135,156974,158267,161286,163646,167958,176079,176196,180349,188109,193491,199174,204042,204987,213472,224578,242132,247097,83,83,84,84,85,85,86,86,86,89,90,89,89,89,91,91,91,92,91,90,93,91,89,90,90,90,91,90,89,89,92,91
"1860 Laxå",642293300,657842100,666512500,681106300,695113200,716740900,739394700,776690900,797367300,823637800,845353700,850877400,866207100,889336400,917574000,944318800,936632200,939886300,948076300,978655700,974376600,968483200,1004320200,1045263300,1069883000,1077696800,1081216600,1081947600,1128304100,1166470200,1219784800,1241305300,87375,90662,94340,97804,102042,105357,109216,115941,121236,127281,132792,135771,141168,147095,154943,160872,161879,165298,168637,176271,174619,170989,177567,183090,189595,191183,190255,191191,202133,209195,221900,228896,95,94,96,96,97,96,94,93,92,92,93,92,93,93,94,93,93,94,94,95,92,88,88,88,88,86,84,84,84,83,84,84
"1861 Hallsberg",1406308700,1465342200,1511073300,1549609800,1596839500,1661435900,1719446400,1812028600,1876896000,1969568900,2047758000,2103153500,2147953900,2214060700,2301487600,2409114600,2410796500,2437063600,2480518400,2567930100,2615250000,2684599100,2814913000,2941138900,3056352400,3122059500,3131265900,3146742100,3301913500,3521082200,3666222200,3753496000,84666,88428,92155,95197,98376,104159,108998,115526,120106,125843,131359,136560,140252,144833,150739,157913,158241,159546,162678,168025,171301,175292,181502,187944,191837,195691,196539,196794,203872,216150,225864,232847,92,92,94,93,94,95,94,93,91,91,92,93,92,92,91,91,91,91,90,90,90,90,90,90,89,89,87,86,85,86,86,86
"1862 Degerfors",1006651000,1057698000,1082838000,1115478900,1125032700,1152304800,1198472000,1254586000,1301922000,1355868400,1411413600,1410217300,1443213500,1484769000,1545809000,1592028600,1568386300,1554873500,1563223900,1597876700,1619637700,1651195800,1703420500,1768572400,1827152800,1846979200,1859717000,1881109900,1930081500,2024795200,2101431400,2131160000,86053,91496,95019,99375,101546,105648,111527,118986,124789,131561,138632,139543,142992,148269,156095,161808,161539,161277,163671,168606,170488,173245,178499,184054,188990,191100,192398,195318,202442,212465,224584,229700,93,95,97,98,97,96,96,96,95,95,97,95,94,94,94,94,93,92,91,91,90,89,88,88,88,86,85,85,85,85,85,85
"1863 Hällefors",775468900,783778400,799323000,808042000,810096300,828977500,856786500,888413500,918464500,942530300,984069800,1016750400,1028223700,1062670700,1092763800,1130366200,1094806000,1087949900,1088863000,1105161800,1115965500,1136563700,1165072000,1218372500,1255743400,1257531000,1241265200,1221088800,1259146500,1309628700,1322966600,1324741600,86240,87976,91771,94342,96165,100458,105841,110706,116571,120930,127602,132252,134814,140956,146189,153561,149299,150686,152502,158151,159835,163864,165681,170688,176641,180085,176995,177072,183844,196759,203690,209578,93,92,94,93,92,91,91,89,88,87,89,90,88,89,88,89,86,86,85,85,84,84,82,82,82,81,79,77,77,78,78,77
"1864 Ljusnarsberg",521275600,541335300,544748500,551225500,560803700,571729700,581660700,604453600,624293700,652780600,684396600,687861900,691816000,700995000,722872000,754752500,748458200,742573700,734323300,758752400,763660600,777669500,802785900,828225500,852257300,852068700,845632300,835154200,862052500,897481600,917663400,935485400,81628,84809,87007,89937,93452,97581,101070,106964,112770,119077,126389,127642,130114,133701,139335,147154,148063,150593,150785,156508,156648,158288,162903,165447,172452,175829,177244,178681,187240,198690,208229,214119,88,88,89,88,89,89,87,86,86,86,88,87,85,85,84,85,85,86,84,84,82,81,81,79,80,80,79,78,78,79,79,79
"1880 Örebro",10749533200,11195663400,11404123700,11859944400,12189738400,12785287000,13507012900,14488942600,15427310300,16343083800,17103958500,17666752500,18430294000,19271468200,20286066200,21523614200,21967566200,22437145600,23218018800,24203737300,25117917100,26037303400,27402953900,28859526700,30287165700,31612083600,32706787400,33464319000,35050534700,36929086000,38663876100,39951388600,91804,94394,95324,98199,100117,104250,109366,116652,123544,130203,135436,139128,144288,149418,155533,162716,163930,165637,169325,174188,178649,182567,190034,196817,201523,206121,210068,213992,223270,233644,242638,249478,100,98,97,96,95,95,94,94,94,94,94,94,95,95,94,94,94,94,94,94,94,94,94,94,94,93,93,94,93,93,92,92
"1881 Kumla",1635816400,1724683100,1777972300,1869548400,1959921900,2054263200,2146780300,2301004800,2378918400,2475159000,2574159800,2617204300,2697814200,2815569600,2970386500,3115843600,3204050300,3263881600,3362009400,3497816500,3618554400,3718412300,3881858300,4099039800,4271313000,4413127300,4453977200,4491752100,4693097200,5008509800,5277336700,5453169700,86496,90845,93156,98475,103700,109397,113394,121214,125636,129556,133521,135026,138541,143337,149627,154579,158506,159556,163920,168667,173103,176932,183505,192136,198610,203934,204894,205459,211935,222808,234382,240429,94,95,95,97,99,100,98,98,95,94,93,92,91,91,90,89,91,91,91,91,91,91,91,92,92,92,91,90,89,89,89,89
